t rho
0.000000000000000000e+00 1.280228335605750013e-03
0.000000000000000000e+00 1.280228335605750013e-03
0.000000000000000000e+00 1.280228335605750013e-03
0.000000000000000000e+00 1.280228335605750013e-03
0.000000000000000000e+00 1.280228335605750013e-03
5.000000000000000000e-01 1.279521822172179990e-03
5.000000000000000000e-01 1.279521822172179990e-03
5.000000000000000000e-01 1.279521822172179990e-03
5.000000000000000000e-01 1.279521822172179990e-03
1.000000000000000000e+00 1.278964784817370002e-03
1.000000000000000000e+00 1.278964784817370002e-03
1.000000000000000000e+00 1.278964784817370002e-03
1.000000000000000000e+00 1.278964784817370002e-03
1.000000000000000000e+00 1.278964784817370002e-03
1.500000000000000000e+00 1.278708039180159912e-03
1.500000000000000000e+00 1.278708039180159912e-03
1.500000000000000000e+00 1.278708039180159912e-03
1.500000000000000000e+00 1.278708039180159912e-03
2.000000000000000000e+00 1.278730493755799976e-03
2.000000000000000000e+00 1.278730493755799976e-03
2.000000000000000000e+00 1.278730493755799976e-03
2.000000000000000000e+00 1.278730493755799976e-03
2.000000000000000000e+00 1.278730493755799976e-03
2.500000000000000000e+00 1.278921444594390087e-03
2.500000000000000000e+00 1.278921444594390087e-03
2.500000000000000000e+00 1.278921444594390087e-03
2.500000000000000000e+00 1.278921444594390087e-03
3.000000000000000000e+00 1.279148766291040087e-03
3.000000000000000000e+00 1.279148766291040087e-03
3.000000000000000000e+00 1.279148766291040087e-03
3.000000000000000000e+00 1.279148766291040087e-03
3.000000000000000000e+00 1.279148766291040087e-03
3.500000000000000000e+00 1.279321634498809977e-03
3.500000000000000000e+00 1.279321634498809977e-03
3.500000000000000000e+00 1.279321634498809977e-03
3.500000000000000000e+00 1.279321634498809977e-03
4.000000000000000000e+00 1.279411220929560066e-03
4.000000000000000000e+00 1.279411220929560066e-03
4.000000000000000000e+00 1.279411220929560066e-03
4.000000000000000000e+00 1.279411220929560066e-03
4.000000000000000000e+00 1.279411220929560066e-03
4.500000000000000000e+00 1.279413613311849952e-03
4.500000000000000000e+00 1.279413613311849952e-03
4.500000000000000000e+00 1.279413613311849952e-03
4.500000000000000000e+00 1.279413613311849952e-03
5.000000000000000000e+00 1.279359152978609910e-03
5.000000000000000000e+00 1.279359152978609910e-03
5.000000000000000000e+00 1.279359152978609910e-03
5.000000000000000000e+00 1.279359152978609910e-03
5.000000000000000000e+00 1.279359152978609910e-03
5.500000000000000000e+00 1.279316581945609934e-03
5.500000000000000000e+00 1.279316581945609934e-03
5.500000000000000000e+00 1.279316581945609934e-03
5.500000000000000000e+00 1.279316581945609934e-03
6.000000000000000000e+00 1.279311188137380014e-03
6.000000000000000000e+00 1.279311188137380014e-03
6.000000000000000000e+00 1.279311188137380014e-03
6.000000000000000000e+00 1.279311188137380014e-03
6.000000000000000000e+00 1.279311188137380014e-03
6.500000000000000000e+00 1.279348756111269979e-03
6.500000000000000000e+00 1.279348756111269979e-03
6.500000000000000000e+00 1.279348756111269979e-03
6.500000000000000000e+00 1.279348756111269979e-03
7.000000000000000000e+00 1.279419528224450030e-03
7.000000000000000000e+00 1.279419528224450030e-03
7.000000000000000000e+00 1.279419528224450030e-03
7.000000000000000000e+00 1.279419528224450030e-03
7.000000000000000000e+00 1.279419528224450030e-03
7.500000000000000000e+00 1.279485588910290019e-03
7.500000000000000000e+00 1.279485588910290019e-03
7.500000000000000000e+00 1.279485588910290019e-03
7.500000000000000000e+00 1.279485588910290019e-03
8.000000000000000000e+00 1.279547953665229922e-03
8.000000000000000000e+00 1.279547953665229922e-03
8.000000000000000000e+00 1.279547953665229922e-03
8.000000000000000000e+00 1.279547953665229922e-03
8.000000000000000000e+00 1.279547953665229922e-03
8.500000000000000000e+00 1.279590074241719914e-03
8.500000000000000000e+00 1.279590074241719914e-03
8.500000000000000000e+00 1.279590074241719914e-03
8.500000000000000000e+00 1.279590074241719914e-03
9.000000000000000000e+00 1.279618268859540045e-03
9.000000000000000000e+00 1.279618268859540045e-03
9.000000000000000000e+00 1.279618268859540045e-03
9.000000000000000000e+00 1.279618268859540045e-03
9.000000000000000000e+00 1.279618268859540045e-03
9.500000000000000000e+00 1.279642393140119957e-03
9.500000000000000000e+00 1.279642393140119957e-03
9.500000000000000000e+00 1.279642393140119957e-03
9.500000000000000000e+00 1.279642393140119957e-03
1.000000000000000000e+01 1.279672091620110081e-03
1.000000000000000000e+01 1.279672091620110081e-03
1.000000000000000000e+01 1.279672091620110081e-03
1.000000000000000000e+01 1.279672091620110081e-03
1.000000000000000000e+01 1.279672091620110081e-03
1.050000000000000000e+01 1.279698727218130019e-03
1.050000000000000000e+01 1.279698727218130019e-03
1.050000000000000000e+01 1.279698727218130019e-03
1.050000000000000000e+01 1.279698727218130019e-03
