t rho
0.000000000000000000e+00 3.574774551311980190e-03
0.000000000000000000e+00 3.574774551311980190e-03
0.000000000000000000e+00 3.574774551311980190e-03
0.000000000000000000e+00 3.574774551311980190e-03
0.000000000000000000e+00 3.574774551311980190e-03
1.024000000000000021e+00 3.569762937644960134e-03
1.024000000000000021e+00 3.569762937644960134e-03
1.024000000000000021e+00 3.569762937644960134e-03
1.024000000000000021e+00 3.569762937644960134e-03
1.024000000000000021e+00 3.569762937644960134e-03
2.048000000000000043e+00 3.565847718017259825e-03
2.048000000000000043e+00 3.565847718017259825e-03
2.048000000000000043e+00 3.565847718017259825e-03
2.048000000000000043e+00 3.565847718017259825e-03
2.048000000000000043e+00 3.565847718017259825e-03
3.072000000000000064e+00 3.564488969417630142e-03
3.072000000000000064e+00 3.564488969417630142e-03
3.072000000000000064e+00 3.564488969417630142e-03
3.072000000000000064e+00 3.564488969417630142e-03
3.072000000000000064e+00 3.564488969417630142e-03
4.096000000000000085e+00 3.567893864228380198e-03
4.096000000000000085e+00 3.567893864228380198e-03
4.096000000000000085e+00 3.567893864228380198e-03
4.096000000000000085e+00 3.567893864228380198e-03
4.096000000000000085e+00 3.567893864228380198e-03
5.120000000000000107e+00 3.569934711674980100e-03
5.120000000000000107e+00 3.569934711674980100e-03
5.120000000000000107e+00 3.569934711674980100e-03
5.120000000000000107e+00 3.569934711674980100e-03
5.120000000000000107e+00 3.569934711674980100e-03
6.144000000000000128e+00 3.569867199293399931e-03
6.144000000000000128e+00 3.569867199293399931e-03
6.144000000000000128e+00 3.569867199293399931e-03
6.144000000000000128e+00 3.569867199293399931e-03
6.144000000000000128e+00 3.569867199293399931e-03
7.168000000000000149e+00 3.568865589814040114e-03
7.168000000000000149e+00 3.568865589814040114e-03
7.168000000000000149e+00 3.568865589814040114e-03
7.168000000000000149e+00 3.568865589814040114e-03
7.168000000000000149e+00 3.568865589814040114e-03
8.192000000000000171e+00 3.568698517554759822e-03
8.192000000000000171e+00 3.568698517554759822e-03
8.192000000000000171e+00 3.568698517554759822e-03
8.192000000000000171e+00 3.568698517554759822e-03
8.192000000000000171e+00 3.568698517554759822e-03
9.215999999999999304e+00 3.570294605034459931e-03
9.215999999999999304e+00 3.570294605034459931e-03
9.215999999999999304e+00 3.570294605034459931e-03
9.215999999999999304e+00 3.570294605034459931e-03
9.215999999999999304e+00 3.570294605034459931e-03
1.024000000000000021e+01 3.573094271380550160e-03
1.024000000000000021e+01 3.573094271380550160e-03
1.024000000000000021e+01 3.573094271380550160e-03
1.024000000000000021e+01 3.573094271380550160e-03
1.024000000000000021e+01 3.573094271380550160e-03
1.126399999999999935e+01 3.575970792784760079e-03
1.126399999999999935e+01 3.575970792784760079e-03
1.126399999999999935e+01 3.575970792784760079e-03
1.126399999999999935e+01 3.575970792784760079e-03
1.126399999999999935e+01 3.575970792784760079e-03
1.228800000000000026e+01 3.578204811323519845e-03
1.228800000000000026e+01 3.578204811323519845e-03
1.228800000000000026e+01 3.578204811323519845e-03
1.228800000000000026e+01 3.578204811323519845e-03
1.228800000000000026e+01 3.578204811323519845e-03
1.331199999999999939e+01 3.579497278844460170e-03
1.331199999999999939e+01 3.579497278844460170e-03
1.331199999999999939e+01 3.579497278844460170e-03
1.331199999999999939e+01 3.579497278844460170e-03
1.331199999999999939e+01 3.579497278844460170e-03
1.433600000000000030e+01 3.580756520139460192e-03
1.433600000000000030e+01 3.580756520139460192e-03
1.433600000000000030e+01 3.580756520139460192e-03
1.433600000000000030e+01 3.580756520139460192e-03
1.433600000000000030e+01 3.580756520139460192e-03
1.535999999999999943e+01 3.582785446817869819e-03
1.535999999999999943e+01 3.582785446817869819e-03
1.535999999999999943e+01 3.582785446817869819e-03
1.535999999999999943e+01 3.582785446817869819e-03
1.535999999999999943e+01 3.582785446817869819e-03
1.638400000000000034e+01 3.585115858709660066e-03
1.638400000000000034e+01 3.585115858709660066e-03
1.638400000000000034e+01 3.585115858709660066e-03
1.638400000000000034e+01 3.585115858709660066e-03
1.638400000000000034e+01 3.585115858709660066e-03
1.740800000000000125e+01 3.587224970821169950e-03
1.740800000000000125e+01 3.587224970821169950e-03
1.740800000000000125e+01 3.587224970821169950e-03
1.740800000000000125e+01 3.587224970821169950e-03
1.740800000000000125e+01 3.587224970821169950e-03
1.843199999999999861e+01 3.589065361307730052e-03
1.843199999999999861e+01 3.589065361307730052e-03
1.843199999999999861e+01 3.589065361307730052e-03
1.843199999999999861e+01 3.589065361307730052e-03
1.843199999999999861e+01 3.589065361307730052e-03
1.945599999999999952e+01 3.590759516452610069e-03
1.945599999999999952e+01 3.590759516452610069e-03
1.945599999999999952e+01 3.590759516452610069e-03
1.945599999999999952e+01 3.590759516452610069e-03
1.945599999999999952e+01 3.590759516452610069e-03
2.048000000000000043e+01 3.592577238929950054e-03
2.048000000000000043e+01 3.592577238929950054e-03
2.048000000000000043e+01 3.592577238929950054e-03
2.048000000000000043e+01 3.592577238929950054e-03
2.048000000000000043e+01 3.592577238929950054e-03
2.150400000000000134e+01 3.594618488768869941e-03
2.150400000000000134e+01 3.594618488768869941e-03
2.150400000000000134e+01 3.594618488768869941e-03
2.150400000000000134e+01 3.594618488768869941e-03
2.150400000000000134e+01 3.594618488768869941e-03
2.252799999999999869e+01 3.596667277098179911e-03
2.252799999999999869e+01 3.596667277098179911e-03
2.252799999999999869e+01 3.596667277098179911e-03
2.252799999999999869e+01 3.596667277098179911e-03
2.252799999999999869e+01 3.596667277098179911e-03
2.355199999999999960e+01 3.598299145364369962e-03
2.355199999999999960e+01 3.598299145364369962e-03
2.355199999999999960e+01 3.598299145364369962e-03
2.355199999999999960e+01 3.598299145364369962e-03
2.355199999999999960e+01 3.598299145364369962e-03
2.457600000000000051e+01 3.599211545726570000e-03
2.457600000000000051e+01 3.599211545726570000e-03
2.457600000000000051e+01 3.599211545726570000e-03
2.457600000000000051e+01 3.599211545726570000e-03
2.457600000000000051e+01 3.599211545726570000e-03
2.560000000000000142e+01 3.599538058555189993e-03
2.560000000000000142e+01 3.599538058555189993e-03
2.560000000000000142e+01 3.599538058555189993e-03
2.560000000000000142e+01 3.599538058555189993e-03
2.560000000000000142e+01 3.599538058555189993e-03
2.662399999999999878e+01 3.599652092912939989e-03
2.662399999999999878e+01 3.599652092912939989e-03
2.662399999999999878e+01 3.599652092912939989e-03
2.662399999999999878e+01 3.599652092912939989e-03
2.662399999999999878e+01 3.599652092912939989e-03
2.764799999999999969e+01 3.599903305684539964e-03
2.764799999999999969e+01 3.599903305684539964e-03
2.764799999999999969e+01 3.599903305684539964e-03
2.764799999999999969e+01 3.599903305684539964e-03
2.764799999999999969e+01 3.599903305684539964e-03
2.867200000000000060e+01 3.600825359022009810e-03
2.867200000000000060e+01 3.600825359022009810e-03
2.867200000000000060e+01 3.600825359022009810e-03
2.867200000000000060e+01 3.600825359022009810e-03
2.867200000000000060e+01 3.600825359022009810e-03
2.969600000000000151e+01 3.603211351000330191e-03
2.969600000000000151e+01 3.603211351000330191e-03
2.969600000000000151e+01 3.603211351000330191e-03
2.969600000000000151e+01 3.603211351000330191e-03
2.969600000000000151e+01 3.603211351000330191e-03
3.071999999999999886e+01 3.607595440598819914e-03
3.071999999999999886e+01 3.607595440598819914e-03
3.071999999999999886e+01 3.607595440598819914e-03
3.071999999999999886e+01 3.607595440598819914e-03
3.071999999999999886e+01 3.607595440598819914e-03
3.174399999999999977e+01 3.613880592918330189e-03
3.174399999999999977e+01 3.613880592918330189e-03
3.174399999999999977e+01 3.613880592918330189e-03
3.174399999999999977e+01 3.613880592918330189e-03
3.174399999999999977e+01 3.613880592918330189e-03
3.276800000000000068e+01 3.621428703335090142e-03
3.276800000000000068e+01 3.621428703335090142e-03
3.276800000000000068e+01 3.621428703335090142e-03
