t rho
0.000000000000000000e+00 2.490012874329010015e-03
0.000000000000000000e+00 2.490012874329010015e-03
0.000000000000000000e+00 2.490012874329010015e-03
0.000000000000000000e+00 2.490012874329010015e-03
0.000000000000000000e+00 2.490012874329010015e-03
6.400000000000000133e-01 2.490047286512209797e-03
6.400000000000000133e-01 2.490047286512209797e-03
6.400000000000000133e-01 2.490047286512209797e-03
6.400000000000000133e-01 2.490047286512209797e-03
6.400000000000000133e-01 2.490047286512209797e-03
1.280000000000000027e+00 2.490129355273089807e-03
1.280000000000000027e+00 2.490129355273089807e-03
1.280000000000000027e+00 2.490129355273089807e-03
1.280000000000000027e+00 2.490129355273089807e-03
1.280000000000000027e+00 2.490129355273089807e-03
1.919999999999999929e+00 2.490225416211409946e-03
1.919999999999999929e+00 2.490225416211409946e-03
1.919999999999999929e+00 2.490225416211409946e-03
1.919999999999999929e+00 2.490225416211409946e-03
1.919999999999999929e+00 2.490225416211409946e-03
2.560000000000000053e+00 2.490322177042890005e-03
2.560000000000000053e+00 2.490322177042890005e-03
2.560000000000000053e+00 2.490322177042890005e-03
2.560000000000000053e+00 2.490322177042890005e-03
2.560000000000000053e+00 2.490322177042890005e-03
3.200000000000000178e+00 2.490405048742900130e-03
3.200000000000000178e+00 2.490405048742900130e-03
3.200000000000000178e+00 2.490405048742900130e-03
3.200000000000000178e+00 2.490405048742900130e-03
3.200000000000000178e+00 2.490405048742900130e-03
3.839999999999999858e+00 2.490480791906649841e-03
3.839999999999999858e+00 2.490480791906649841e-03
3.839999999999999858e+00 2.490480791906649841e-03
3.839999999999999858e+00 2.490480791906649841e-03
3.839999999999999858e+00 2.490480791906649841e-03
4.480000000000000426e+00 2.490527641768460181e-03
4.480000000000000426e+00 2.490527641768460181e-03
4.480000000000000426e+00 2.490527641768460181e-03
4.480000000000000426e+00 2.490527641768460181e-03
4.480000000000000426e+00 2.490527641768460181e-03
5.120000000000000107e+00 2.490649975905829833e-03
5.120000000000000107e+00 2.490649975905829833e-03
5.120000000000000107e+00 2.490649975905829833e-03
5.120000000000000107e+00 2.490649975905829833e-03
5.120000000000000107e+00 2.490649975905829833e-03
5.759999999999999787e+00 2.490771067332559797e-03
5.759999999999999787e+00 2.490771067332559797e-03
5.759999999999999787e+00 2.490771067332559797e-03
5.759999999999999787e+00 2.490771067332559797e-03
5.759999999999999787e+00 2.490771067332559797e-03
6.400000000000000355e+00 2.490912968058520138e-03
6.400000000000000355e+00 2.490912968058520138e-03
6.400000000000000355e+00 2.490912968058520138e-03
6.400000000000000355e+00 2.490912968058520138e-03
