t rho
6.400000000000000133e-01 3.544069596150650064e-03
6.400000000000000133e-01 3.544069596150650064e-03
6.400000000000000133e-01 3.544069596150650064e-03
6.400000000000000133e-01 3.544069596150650064e-03
6.400000000000000133e-01 3.544069596150650064e-03
1.280000000000000027e+00 3.544257714014850159e-03
1.280000000000000027e+00 3.544257714014850159e-03
1.280000000000000027e+00 3.544257714014850159e-03
1.280000000000000027e+00 3.544257714014850159e-03
1.280000000000000027e+00 3.544257714014850159e-03
1.919999999999999929e+00 3.544542148778979940e-03
1.919999999999999929e+00 3.544542148778979940e-03
1.919999999999999929e+00 3.544542148778979940e-03
1.919999999999999929e+00 3.544542148778979940e-03
1.919999999999999929e+00 3.544542148778979940e-03
2.560000000000000053e+00 3.544891788286760187e-03
2.560000000000000053e+00 3.544891788286760187e-03
2.560000000000000053e+00 3.544891788286760187e-03
2.560000000000000053e+00 3.544891788286760187e-03
2.560000000000000053e+00 3.544891788286760187e-03
3.200000000000000178e+00 3.545275128987770193e-03
3.200000000000000178e+00 3.545275128987770193e-03
3.200000000000000178e+00 3.545275128987770193e-03
3.200000000000000178e+00 3.545275128987770193e-03
3.200000000000000178e+00 3.545275128987770193e-03
3.839999999999999858e+00 3.545668847102259949e-03
3.839999999999999858e+00 3.545668847102259949e-03
3.839999999999999858e+00 3.545668847102259949e-03
3.839999999999999858e+00 3.545668847102259949e-03
3.839999999999999858e+00 3.545668847102259949e-03
4.480000000000000426e+00 3.546087916851250153e-03
4.480000000000000426e+00 3.546087916851250153e-03
4.480000000000000426e+00 3.546087916851250153e-03
4.480000000000000426e+00 3.546087916851250153e-03
4.480000000000000426e+00 3.546087916851250153e-03
5.120000000000000107e+00 3.546597139801369990e-03
5.120000000000000107e+00 3.546597139801369990e-03
5.120000000000000107e+00 3.546597139801369990e-03
5.120000000000000107e+00 3.546597139801369990e-03
5.120000000000000107e+00 3.546597139801369990e-03
5.759999999999999787e+00 3.547257407772229885e-03
5.759999999999999787e+00 3.547257407772229885e-03
5.759999999999999787e+00 3.547257407772229885e-03
5.759999999999999787e+00 3.547257407772229885e-03
5.759999999999999787e+00 3.547257407772229885e-03
6.400000000000000355e+00 3.548087349468600007e-03
6.400000000000000355e+00 3.548087349468600007e-03
6.400000000000000355e+00 3.548087349468600007e-03
6.400000000000000355e+00 3.548087349468600007e-03
6.400000000000000355e+00 3.548087349468600007e-03
7.040000000000000036e+00 3.549081884680079998e-03
7.040000000000000036e+00 3.549081884680079998e-03
7.040000000000000036e+00 3.549081884680079998e-03
7.040000000000000036e+00 3.549081884680079998e-03
7.040000000000000036e+00 3.549081884680079998e-03
7.679999999999999716e+00 3.550216628161410176e-03
7.679999999999999716e+00 3.550216628161410176e-03
7.679999999999999716e+00 3.550216628161410176e-03
7.679999999999999716e+00 3.550216628161410176e-03
7.679999999999999716e+00 3.550216628161410176e-03
8.320000000000000284e+00 3.551457071214409855e-03
8.320000000000000284e+00 3.551457071214409855e-03
8.320000000000000284e+00 3.551457071214409855e-03
8.320000000000000284e+00 3.551457071214409855e-03
8.320000000000000284e+00 3.551457071214409855e-03
8.960000000000000853e+00 3.552804236809480130e-03
