t rho
2.000000000000000111e-01 2.280112737864380210e-03
2.000000000000000111e-01 2.280112737864380210e-03
2.000000000000000111e-01 2.280112737864380210e-03
4.000000000000000222e-01 2.280112846781230142e-03
4.000000000000000222e-01 2.280112846781230142e-03
4.000000000000000222e-01 2.280112846781230142e-03
5.999999999999999778e-01 2.280116926278640162e-03
5.999999999999999778e-01 2.280116926278640162e-03
5.999999999999999778e-01 2.280116926278640162e-03
8.000000000000000444e-01 2.280122918271729800e-03
8.000000000000000444e-01 2.280122918271729800e-03
8.000000000000000444e-01 2.280122918271729800e-03
1.000000000000000000e+00 2.280135397504819833e-03
1.000000000000000000e+00 2.280135397504819833e-03
1.000000000000000000e+00 2.280135397504819833e-03
1.199999999999999956e+00 2.280132608842020021e-03
1.199999999999999956e+00 2.280132608842020021e-03
1.199999999999999956e+00 2.280132608842020021e-03
1.399999999999999911e+00 2.280139045022480139e-03
1.399999999999999911e+00 2.280139045022480139e-03
1.399999999999999911e+00 2.280139045022480139e-03
1.600000000000000089e+00 2.280135154238379855e-03
1.600000000000000089e+00 2.280135154238379855e-03
1.600000000000000089e+00 2.280135154238379855e-03
1.800000000000000044e+00 2.280136388491190054e-03
1.800000000000000044e+00 2.280136388491190054e-03
1.800000000000000044e+00 2.280136388491190054e-03
2.000000000000000000e+00 2.280143278608759861e-03
2.000000000000000000e+00 2.280143278608759861e-03
2.000000000000000000e+00 2.280143278608759861e-03
2.200000000000000178e+00 2.280151983002709840e-03
2.200000000000000178e+00 2.280151983002709840e-03
2.200000000000000178e+00 2.280151983002709840e-03
2.399999999999999911e+00 2.280158676588650134e-03
2.399999999999999911e+00 2.280158676588650134e-03
2.399999999999999911e+00 2.280158676588650134e-03
2.600000000000000089e+00 2.280154380065139898e-03
2.600000000000000089e+00 2.280154380065139898e-03
2.600000000000000089e+00 2.280154380065139898e-03
2.799999999999999822e+00 2.280144965757529944e-03
2.799999999999999822e+00 2.280144965757529944e-03
2.799999999999999822e+00 2.280144965757529944e-03
3.000000000000000000e+00 2.280135250146349789e-03
3.000000000000000000e+00 2.280135250146349789e-03
3.000000000000000000e+00 2.280135250146349789e-03
3.200000000000000178e+00 2.280134645794750208e-03
3.200000000000000178e+00 2.280134645794750208e-03
3.200000000000000178e+00 2.280134645794750208e-03
3.399999999999999911e+00 2.280139747557240106e-03
3.399999999999999911e+00 2.280139747557240106e-03
3.399999999999999911e+00 2.280139747557240106e-03
3.600000000000000089e+00 2.280139260626640099e-03
3.600000000000000089e+00 2.280139260626640099e-03
3.600000000000000089e+00 2.280139260626640099e-03
3.799999999999999822e+00 2.280146094060480147e-03
3.799999999999999822e+00 2.280146094060480147e-03
3.799999999999999822e+00 2.280146094060480147e-03
4.000000000000000000e+00 2.280148335907340208e-03
4.000000000000000000e+00 2.280148335907340208e-03
4.000000000000000000e+00 2.280148335907340208e-03
4.200000000000000178e+00 2.280159820749319988e-03
4.200000000000000178e+00 2.280159820749319988e-03
4.200000000000000178e+00 2.280159820749319988e-03
4.400000000000000355e+00 2.280176071611890107e-03
4.400000000000000355e+00 2.280176071611890107e-03
4.400000000000000355e+00 2.280176071611890107e-03
4.599999999999999645e+00 2.280185313381939867e-03
4.599999999999999645e+00 2.280185313381939867e-03
4.599999999999999645e+00 2.280185313381939867e-03
4.799999999999999822e+00 2.280183370385309959e-03
4.799999999999999822e+00 2.280183370385309959e-03
4.799999999999999822e+00 2.280183370385309959e-03
