t rho
0.000000000000000000e+00 1.945195675683340049e-03
0.000000000000000000e+00 1.945195675683340049e-03
0.000000000000000000e+00 1.945195675683340049e-03
0.000000000000000000e+00 1.945195675683340049e-03
4.799999999999999822e-01 1.945200924456070082e-03
4.799999999999999822e-01 1.945200924456070082e-03
4.799999999999999822e-01 1.945200924456070082e-03
4.799999999999999822e-01 1.945200924456070082e-03
9.599999999999999645e-01 1.945209271546990016e-03
9.599999999999999645e-01 1.945209271546990016e-03
9.599999999999999645e-01 1.945209271546990016e-03
9.599999999999999645e-01 1.945209271546990016e-03
1.439999999999999947e+00 1.945225524938780023e-03
1.439999999999999947e+00 1.945225524938780023e-03
1.439999999999999947e+00 1.945225524938780023e-03
1.439999999999999947e+00 1.945225524938780023e-03
1.919999999999999929e+00 1.945253093582379996e-03
1.919999999999999929e+00 1.945253093582379996e-03
1.919999999999999929e+00 1.945253093582379996e-03
1.919999999999999929e+00 1.945253093582379996e-03
2.399999999999999911e+00 1.945281744835040093e-03
2.399999999999999911e+00 1.945281744835040093e-03
2.399999999999999911e+00 1.945281744835040093e-03
2.399999999999999911e+00 1.945281744835040093e-03
2.879999999999999893e+00 1.945305517442739952e-03
2.879999999999999893e+00 1.945305517442739952e-03
2.879999999999999893e+00 1.945305517442739952e-03
2.879999999999999893e+00 1.945305517442739952e-03
3.359999999999999876e+00 1.945331210684320047e-03
3.359999999999999876e+00 1.945331210684320047e-03
3.359999999999999876e+00 1.945331210684320047e-03
3.359999999999999876e+00 1.945331210684320047e-03
3.839999999999999858e+00 1.945366169979770082e-03
3.839999999999999858e+00 1.945366169979770082e-03
3.839999999999999858e+00 1.945366169979770082e-03
3.839999999999999858e+00 1.945366169979770082e-03
4.320000000000000284e+00 1.945404475411340040e-03
4.320000000000000284e+00 1.945404475411340040e-03
4.320000000000000284e+00 1.945404475411340040e-03
4.320000000000000284e+00 1.945404475411340040e-03
4.799999999999999822e+00 1.945439286624790071e-03
4.799999999999999822e+00 1.945439286624790071e-03
4.799999999999999822e+00 1.945439286624790071e-03
4.799999999999999822e+00 1.945439286624790071e-03
5.280000000000000249e+00 1.945471082630430108e-03
5.280000000000000249e+00 1.945471082630430108e-03
5.280000000000000249e+00 1.945471082630430108e-03
5.280000000000000249e+00 1.945471082630430108e-03
5.759999999999999787e+00 1.945502846684490092e-03
5.759999999999999787e+00 1.945502846684490092e-03
5.759999999999999787e+00 1.945502846684490092e-03
5.759999999999999787e+00 1.945502846684490092e-03
6.240000000000000213e+00 1.945534684951000064e-03
6.240000000000000213e+00 1.945534684951000064e-03
6.240000000000000213e+00 1.945534684951000064e-03
6.240000000000000213e+00 1.945534684951000064e-03
6.719999999999999751e+00 1.945566732713549908e-03
6.719999999999999751e+00 1.945566732713549908e-03
6.719999999999999751e+00 1.945566732713549908e-03
6.719999999999999751e+00 1.945566732713549908e-03
7.200000000000000178e+00 1.945590390234030066e-03
7.200000000000000178e+00 1.945590390234030066e-03
7.200000000000000178e+00 1.945590390234030066e-03
7.200000000000000178e+00 1.945590390234030066e-03
7.679999999999999716e+00 1.945615783707389931e-03
7.679999999999999716e+00 1.945615783707389931e-03
7.679999999999999716e+00 1.945615783707389931e-03
7.679999999999999716e+00 1.945615783707389931e-03
8.160000000000000142e+00 1.945649333691850009e-03
8.160000000000000142e+00 1.945649333691850009e-03
8.160000000000000142e+00 1.945649333691850009e-03
8.160000000000000142e+00 1.945649333691850009e-03
8.640000000000000568e+00 1.945682109199139975e-03
8.640000000000000568e+00 1.945682109199139975e-03
8.640000000000000568e+00 1.945682109199139975e-03
8.640000000000000568e+00 1.945682109199139975e-03
9.119999999999999218e+00 1.945701713605630084e-03
9.119999999999999218e+00 1.945701713605630084e-03
9.119999999999999218e+00 1.945701713605630084e-03
9.119999999999999218e+00 1.945701713605630084e-03
9.599999999999999645e+00 1.945712349844669993e-03
9.599999999999999645e+00 1.945712349844669993e-03
9.599999999999999645e+00 1.945712349844669993e-03
9.599999999999999645e+00 1.945712349844669993e-03
1.008000000000000007e+01 1.945733549588380068e-03
1.008000000000000007e+01 1.945733549588380068e-03
1.008000000000000007e+01 1.945733549588380068e-03
1.008000000000000007e+01 1.945733549588380068e-03
1.056000000000000050e+01 1.945762276839250061e-03
1.056000000000000050e+01 1.945762276839250061e-03
1.056000000000000050e+01 1.945762276839250061e-03
1.056000000000000050e+01 1.945762276839250061e-03
1.103999999999999915e+01 1.945784619058799981e-03
1.103999999999999915e+01 1.945784619058799981e-03
1.103999999999999915e+01 1.945784619058799981e-03
1.103999999999999915e+01 1.945784619058799981e-03
1.151999999999999957e+01 1.945808250669140002e-03
1.151999999999999957e+01 1.945808250669140002e-03
1.151999999999999957e+01 1.945808250669140002e-03
1.151999999999999957e+01 1.945808250669140002e-03
1.200000000000000000e+01 1.945838188199739945e-03
1.200000000000000000e+01 1.945838188199739945e-03
1.200000000000000000e+01 1.945838188199739945e-03
1.200000000000000000e+01 1.945838188199739945e-03
1.248000000000000043e+01 1.945877406373799998e-03
1.248000000000000043e+01 1.945877406373799998e-03
1.248000000000000043e+01 1.945877406373799998e-03
1.248000000000000043e+01 1.945877406373799998e-03
