t rho
0.000000000000000000e+00 1.945195675683340049e-03
0.000000000000000000e+00 1.945195675683340049e-03
0.000000000000000000e+00 1.945195675683340049e-03
0.000000000000000000e+00 1.945195675683340049e-03
6.400000000000000133e-01 1.945212537219939957e-03
6.400000000000000133e-01 1.945212537219939957e-03
6.400000000000000133e-01 1.945212537219939957e-03
6.400000000000000133e-01 1.945212537219939957e-03
1.280000000000000027e+00 1.945254694897439931e-03
1.280000000000000027e+00 1.945254694897439931e-03
1.280000000000000027e+00 1.945254694897439931e-03
1.280000000000000027e+00 1.945254694897439931e-03
1.919999999999999929e+00 1.945321529550620007e-03
1.919999999999999929e+00 1.945321529550620007e-03
1.919999999999999929e+00 1.945321529550620007e-03
1.919999999999999929e+00 1.945321529550620007e-03
2.560000000000000053e+00 1.945403237544110096e-03
2.560000000000000053e+00 1.945403237544110096e-03
2.560000000000000053e+00 1.945403237544110096e-03
2.560000000000000053e+00 1.945403237544110096e-03
3.200000000000000178e+00 1.945485429232270006e-03
3.200000000000000178e+00 1.945485429232270006e-03
3.200000000000000178e+00 1.945485429232270006e-03
3.200000000000000178e+00 1.945485429232270006e-03
3.839999999999999858e+00 1.945556651259229899e-03
3.839999999999999858e+00 1.945556651259229899e-03
3.839999999999999858e+00 1.945556651259229899e-03
3.839999999999999858e+00 1.945556651259229899e-03
4.480000000000000426e+00 1.945625929609450053e-03
4.480000000000000426e+00 1.945625929609450053e-03
4.480000000000000426e+00 1.945625929609450053e-03
4.480000000000000426e+00 1.945625929609450053e-03
5.120000000000000107e+00 1.945707270444089945e-03
5.120000000000000107e+00 1.945707270444089945e-03
5.120000000000000107e+00 1.945707270444089945e-03
5.120000000000000107e+00 1.945707270444089945e-03
5.759999999999999787e+00 1.945812386552120063e-03
5.759999999999999787e+00 1.945812386552120063e-03
5.759999999999999787e+00 1.945812386552120063e-03
5.759999999999999787e+00 1.945812386552120063e-03
6.400000000000000355e+00 1.945925982263720056e-03
6.400000000000000355e+00 1.945925982263720056e-03
6.400000000000000355e+00 1.945925982263720056e-03
6.400000000000000355e+00 1.945925982263720056e-03
7.040000000000000036e+00 1.946031972781809942e-03
7.040000000000000036e+00 1.946031972781809942e-03
7.040000000000000036e+00 1.946031972781809942e-03
7.040000000000000036e+00 1.946031972781809942e-03
7.679999999999999716e+00 1.946130281018160040e-03
7.679999999999999716e+00 1.946130281018160040e-03
7.679999999999999716e+00 1.946130281018160040e-03
7.679999999999999716e+00 1.946130281018160040e-03
8.320000000000000284e+00 1.946225664754049978e-03
8.320000000000000284e+00 1.946225664754049978e-03
8.320000000000000284e+00 1.946225664754049978e-03
8.320000000000000284e+00 1.946225664754049978e-03
8.960000000000000853e+00 1.946325721675089965e-03
8.960000000000000853e+00 1.946325721675089965e-03
8.960000000000000853e+00 1.946325721675089965e-03
8.960000000000000853e+00 1.946325721675089965e-03
9.599999999999999645e+00 1.946441788815250025e-03
9.599999999999999645e+00 1.946441788815250025e-03
9.599999999999999645e+00 1.946441788815250025e-03
9.599999999999999645e+00 1.946441788815250025e-03
1.024000000000000021e+01 1.946584370566260087e-03
1.024000000000000021e+01 1.946584370566260087e-03
1.024000000000000021e+01 1.946584370566260087e-03
1.024000000000000021e+01 1.946584370566260087e-03
1.088000000000000078e+01 1.946754615348800102e-03
1.088000000000000078e+01 1.946754615348800102e-03
1.088000000000000078e+01 1.946754615348800102e-03
1.088000000000000078e+01 1.946754615348800102e-03
1.151999999999999957e+01 1.946901536603569969e-03
1.151999999999999957e+01 1.946901536603569969e-03
1.151999999999999957e+01 1.946901536603569969e-03
1.151999999999999957e+01 1.946901536603569969e-03
1.216000000000000014e+01 1.947008909077310029e-03
1.216000000000000014e+01 1.947008909077310029e-03
1.216000000000000014e+01 1.947008909077310029e-03
1.216000000000000014e+01 1.947008909077310029e-03
1.280000000000000071e+01 1.947117459352650046e-03
1.280000000000000071e+01 1.947117459352650046e-03
1.280000000000000071e+01 1.947117459352650046e-03
1.280000000000000071e+01 1.947117459352650046e-03
1.343999999999999950e+01 1.947236330398640063e-03
1.343999999999999950e+01 1.947236330398640063e-03
1.343999999999999950e+01 1.947236330398640063e-03
1.343999999999999950e+01 1.947236330398640063e-03
1.408000000000000007e+01 1.947358997810290067e-03
1.408000000000000007e+01 1.947358997810290067e-03
1.408000000000000007e+01 1.947358997810290067e-03
1.408000000000000007e+01 1.947358997810290067e-03
1.472000000000000064e+01 1.947473395403380089e-03
1.472000000000000064e+01 1.947473395403380089e-03
1.472000000000000064e+01 1.947473395403380089e-03
1.472000000000000064e+01 1.947473395403380089e-03
1.535999999999999943e+01 1.947578836402669936e-03
1.535999999999999943e+01 1.947578836402669936e-03
1.535999999999999943e+01 1.947578836402669936e-03
1.535999999999999943e+01 1.947578836402669936e-03
1.600000000000000000e+01 1.947688386269910091e-03
1.600000000000000000e+01 1.947688386269910091e-03
1.600000000000000000e+01 1.947688386269910091e-03
1.600000000000000000e+01 1.947688386269910091e-03
1.664000000000000057e+01 1.947833078005689958e-03
1.664000000000000057e+01 1.947833078005689958e-03
1.664000000000000057e+01 1.947833078005689958e-03
1.664000000000000057e+01 1.947833078005689958e-03
