t rho
0.000000000000000000e+00 2.856929407897659898e-03
0.000000000000000000e+00 2.856929407897659898e-03
0.000000000000000000e+00 2.856929407897659898e-03
0.000000000000000000e+00 2.856929407897659898e-03
0.000000000000000000e+00 2.856929407897659898e-03
1.919999999999999929e+00 2.856410177139689834e-03
1.919999999999999929e+00 2.856410177139689834e-03
1.919999999999999929e+00 2.856410177139689834e-03
1.919999999999999929e+00 2.856410177139689834e-03
1.919999999999999929e+00 2.856410177139689834e-03
3.839999999999999858e+00 2.855738619686340029e-03
3.839999999999999858e+00 2.855738619686340029e-03
3.839999999999999858e+00 2.855738619686340029e-03
3.839999999999999858e+00 2.855738619686340029e-03
3.839999999999999858e+00 2.855738619686340029e-03
5.759999999999999787e+00 2.855467709481389858e-03
5.759999999999999787e+00 2.855467709481389858e-03
5.759999999999999787e+00 2.855467709481389858e-03
5.759999999999999787e+00 2.855467709481389858e-03
5.759999999999999787e+00 2.855467709481389858e-03
7.679999999999999716e+00 2.855062481416599952e-03
7.679999999999999716e+00 2.855062481416599952e-03
7.679999999999999716e+00 2.855062481416599952e-03
7.679999999999999716e+00 2.855062481416599952e-03
7.679999999999999716e+00 2.855062481416599952e-03
9.599999999999999645e+00 2.854954932174119837e-03
9.599999999999999645e+00 2.854954932174119837e-03
9.599999999999999645e+00 2.854954932174119837e-03
9.599999999999999645e+00 2.854954932174119837e-03
9.599999999999999645e+00 2.854954932174119837e-03
1.151999999999999957e+01 2.854307717190719944e-03
1.151999999999999957e+01 2.854307717190719944e-03
1.151999999999999957e+01 2.854307717190719944e-03
1.151999999999999957e+01 2.854307717190719944e-03
1.151999999999999957e+01 2.854307717190719944e-03
1.343999999999999950e+01 2.853857508269020196e-03
1.343999999999999950e+01 2.853857508269020196e-03
1.343999999999999950e+01 2.853857508269020196e-03
1.343999999999999950e+01 2.853857508269020196e-03
1.343999999999999950e+01 2.853857508269020196e-03
1.535999999999999943e+01 2.853392821236499979e-03
1.535999999999999943e+01 2.853392821236499979e-03
1.535999999999999943e+01 2.853392821236499979e-03
1.535999999999999943e+01 2.853392821236499979e-03
1.535999999999999943e+01 2.853392821236499979e-03
1.728000000000000114e+01 2.852972609758230079e-03
1.728000000000000114e+01 2.852972609758230079e-03
1.728000000000000114e+01 2.852972609758230079e-03
1.728000000000000114e+01 2.852972609758230079e-03
1.728000000000000114e+01 2.852972609758230079e-03
1.919999999999999929e+01 2.852712212991139785e-03
1.919999999999999929e+01 2.852712212991139785e-03
1.919999999999999929e+01 2.852712212991139785e-03
1.919999999999999929e+01 2.852712212991139785e-03
1.919999999999999929e+01 2.852712212991139785e-03
2.112000000000000099e+01 2.852462967178379973e-03
2.112000000000000099e+01 2.852462967178379973e-03
2.112000000000000099e+01 2.852462967178379973e-03
2.112000000000000099e+01 2.852462967178379973e-03
