t rho
0.000000000000000000e+00 1.280127387249440024e-03
0.000000000000000000e+00 1.280127387249440024e-03
0.000000000000000000e+00 1.280127387249440024e-03
0.000000000000000000e+00 1.280127387249440024e-03
3.200000000000000067e-01 1.279960739976379993e-03
3.200000000000000067e-01 1.279960739976379993e-03
3.200000000000000067e-01 1.279960739976379993e-03
3.200000000000000067e-01 1.279960739976379993e-03
6.400000000000000133e-01 1.279886731375319943e-03
6.400000000000000133e-01 1.279886731375319943e-03
6.400000000000000133e-01 1.279886731375319943e-03
6.400000000000000133e-01 1.279886731375319943e-03
9.599999999999999645e-01 1.279913946365949943e-03
9.599999999999999645e-01 1.279913946365949943e-03
9.599999999999999645e-01 1.279913946365949943e-03
9.599999999999999645e-01 1.279913946365949943e-03
1.280000000000000027e+00 1.279966366012099972e-03
1.280000000000000027e+00 1.279966366012099972e-03
1.280000000000000027e+00 1.279966366012099972e-03
1.280000000000000027e+00 1.279966366012099972e-03
1.600000000000000089e+00 1.279986753914880062e-03
1.600000000000000089e+00 1.279986753914880062e-03
1.600000000000000089e+00 1.279986753914880062e-03
1.600000000000000089e+00 1.279986753914880062e-03
1.919999999999999929e+00 1.279978472506009988e-03
1.919999999999999929e+00 1.279978472506009988e-03
1.919999999999999929e+00 1.279978472506009988e-03
1.919999999999999929e+00 1.279978472506009988e-03
2.240000000000000213e+00 1.279965034362860092e-03
2.240000000000000213e+00 1.279965034362860092e-03
2.240000000000000213e+00 1.279965034362860092e-03
2.240000000000000213e+00 1.279965034362860092e-03
2.560000000000000053e+00 1.279961981606690061e-03
2.560000000000000053e+00 1.279961981606690061e-03
2.560000000000000053e+00 1.279961981606690061e-03
2.560000000000000053e+00 1.279961981606690061e-03
2.879999999999999893e+00 1.279966888712760070e-03
2.879999999999999893e+00 1.279966888712760070e-03
2.879999999999999893e+00 1.279966888712760070e-03
2.879999999999999893e+00 1.279966888712760070e-03
3.200000000000000178e+00 1.279975435859249987e-03
3.200000000000000178e+00 1.279975435859249987e-03
3.200000000000000178e+00 1.279975435859249987e-03
3.200000000000000178e+00 1.279975435859249987e-03
3.520000000000000018e+00 1.279983240181600031e-03
3.520000000000000018e+00 1.279983240181600031e-03
3.520000000000000018e+00 1.279983240181600031e-03
3.520000000000000018e+00 1.279983240181600031e-03
3.839999999999999858e+00 1.279987909101809899e-03
3.839999999999999858e+00 1.279987909101809899e-03
3.839999999999999858e+00 1.279987909101809899e-03
3.839999999999999858e+00 1.279987909101809899e-03
4.160000000000000142e+00 1.279992338048120074e-03
4.160000000000000142e+00 1.279992338048120074e-03
4.160000000000000142e+00 1.279992338048120074e-03
4.160000000000000142e+00 1.279992338048120074e-03
4.480000000000000426e+00 1.279996526633260046e-03
