t shift
0.000000000000000000e+00 7.071290099602830429e-17
0.000000000000000000e+00 7.071290099602830429e-17
0.000000000000000000e+00 7.071290099602830429e-17
1.000000000000000056e-01 -2.237458084993270005e-17
1.000000000000000056e-01 -2.237458084993270005e-17
1.000000000000000056e-01 -2.237458084993270005e-17
2.000000000000000111e-01 -3.986954725966000008e-17
2.000000000000000111e-01 -3.986954725966000008e-17
2.000000000000000111e-01 -3.986954725966000008e-17
2.999999999999999889e-01 3.985530734047090196e-18
2.999999999999999889e-01 3.985530734047090196e-18
2.999999999999999889e-01 3.985530734047090196e-18
4.000000000000000222e-01 2.684282738507109955e-17
4.000000000000000222e-01 2.684282738507109955e-17
4.000000000000000222e-01 2.684282738507109955e-17
5.000000000000000000e-01 2.964937215841119857e-17
5.000000000000000000e-01 2.964937215841119857e-17
5.000000000000000000e-01 2.964937215841119857e-17
5.999999999999999778e-01 -5.904350453309420054e-17
5.999999999999999778e-01 -5.904350453309420054e-17
5.999999999999999778e-01 -5.904350453309420054e-17
6.999999999999999556e-01 -2.152610521258000002e-17
6.999999999999999556e-01 -2.152610521258000002e-17
6.999999999999999556e-01 -2.152610521258000002e-17
8.000000000000000444e-01 9.068773648523489659e-17
8.000000000000000444e-01 9.068773648523489659e-17
8.000000000000000444e-01 9.068773648523489659e-17
9.000000000000000222e-01 -4.029257861972770274e-17
9.000000000000000222e-01 -4.029257861972770274e-17
9.000000000000000222e-01 -4.029257861972770274e-17
1.000000000000000000e+00 -3.131689665084169855e-17
1.000000000000000000e+00 -3.131689665084169855e-17
1.000000000000000000e+00 -3.131689665084169855e-17
1.100000000000000089e+00 3.532426188259340252e-18
1.100000000000000089e+00 3.532426188259340252e-18
1.100000000000000089e+00 3.532426188259340252e-18
1.199999999999999956e+00 6.199590992142990344e-17
1.199999999999999956e+00 6.199590992142990344e-17
1.199999999999999956e+00 6.199590992142990344e-17
1.300000000000000044e+00 -5.332851254775599853e-17
1.300000000000000044e+00 -5.332851254775599853e-17
1.300000000000000044e+00 -5.332851254775599853e-17
1.399999999999999911e+00 1.064643883568830039e-18
1.399999999999999911e+00 1.064643883568830039e-18
1.399999999999999911e+00 1.064643883568830039e-18
1.500000000000000000e+00 7.856903699825090168e-18
1.500000000000000000e+00 7.856903699825090168e-18
1.500000000000000000e+00 7.856903699825090168e-18
1.600000000000000089e+00 1.004267264503539932e-17
1.600000000000000089e+00 1.004267264503539932e-17
1.600000000000000089e+00 1.004267264503539932e-17
1.699999999999999956e+00 4.653199299228209970e-18
1.699999999999999956e+00 4.653199299228209970e-18
1.699999999999999956e+00 4.653199299228209970e-18
1.800000000000000044e+00 -2.842027117033059703e-17
1.800000000000000044e+00 -2.842027117033059703e-17
1.800000000000000044e+00 -2.842027117033059703e-17
1.899999999999999911e+00 1.057761161776210005e-17
1.899999999999999911e+00 1.057761161776210005e-17
1.899999999999999911e+00 1.057761161776210005e-17
2.000000000000000000e+00 2.190440231910269882e-17
2.000000000000000000e+00 2.190440231910269882e-17
2.000000000000000000e+00 2.190440231910269882e-17
2.100000000000000089e+00 -1.792362378805119983e-17
2.100000000000000089e+00 -1.792362378805119983e-17
2.100000000000000089e+00 -1.792362378805119983e-17
2.200000000000000178e+00 -3.103147117699470177e-18
