t shift
0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00
1.600000000000000033e-01 3.795596563021179805e-17
1.600000000000000033e-01 3.795596563021179805e-17
1.600000000000000033e-01 3.795596563021179805e-17
3.200000000000000067e-01 -4.156917454674869843e-17
3.200000000000000067e-01 -4.156917454674869843e-17
3.200000000000000067e-01 -4.156917454674869843e-17
4.799999999999999822e-01 7.289401766468689557e-20
4.799999999999999822e-01 7.289401766468689557e-20
4.799999999999999822e-01 7.289401766468689557e-20
6.400000000000000133e-01 3.134835653638559832e-17
6.400000000000000133e-01 3.134835653638559832e-17
6.400000000000000133e-01 3.134835653638559832e-17
8.000000000000000444e-01 -2.246540743096509900e-17
8.000000000000000444e-01 -2.246540743096509900e-17
8.000000000000000444e-01 -2.246540743096509900e-17
9.599999999999999645e-01 6.748854511003029817e-18
9.599999999999999645e-01 6.748854511003029817e-18
9.599999999999999645e-01 6.748854511003029817e-18
1.120000000000000107e+00 -1.487770424336239997e-17
1.120000000000000107e+00 -1.487770424336239997e-17
1.120000000000000107e+00 -1.487770424336239997e-17
1.280000000000000027e+00 2.669662627385280110e-17
1.280000000000000027e+00 2.669662627385280110e-17
1.280000000000000027e+00 2.669662627385280110e-17
1.439999999999999947e+00 -1.321911286392919972e-17
1.439999999999999947e+00 -1.321911286392919972e-17
1.439999999999999947e+00 -1.321911286392919972e-17
1.600000000000000089e+00 -1.262278209746180028e-17
1.600000000000000089e+00 -1.262278209746180028e-17
1.600000000000000089e+00 -1.262278209746180028e-17
1.760000000000000009e+00 1.889852399569479993e-17
1.760000000000000009e+00 1.889852399569479993e-17
1.760000000000000009e+00 1.889852399569479993e-17
1.919999999999999929e+00 -3.251541611238020188e-18
1.919999999999999929e+00 -3.251541611238020188e-18
1.919999999999999929e+00 -3.251541611238020188e-18
2.080000000000000071e+00 -9.854798964237979869e-18
2.080000000000000071e+00 -9.854798964237979869e-18
2.080000000000000071e+00 -9.854798964237979869e-18
2.240000000000000213e+00 7.513341341821189352e-18
2.240000000000000213e+00 7.513341341821189352e-18
2.240000000000000213e+00 7.513341341821189352e-18
2.399999999999999911e+00 -1.114661755102490010e-19
2.399999999999999911e+00 -1.114661755102490010e-19
2.399999999999999911e+00 -1.114661755102490010e-19
2.560000000000000053e+00 -8.570915041697150366e-19
2.560000000000000053e+00 -8.570915041697150366e-19
2.560000000000000053e+00 -8.570915041697150366e-19
2.720000000000000195e+00 -2.045319550316109949e-18
2.720000000000000195e+00 -2.045319550316109949e-18
2.720000000000000195e+00 -2.045319550316109949e-18
2.879999999999999893e+00 1.095205730083320039e-18
2.879999999999999893e+00 1.095205730083320039e-18
2.879999999999999893e+00 1.095205730083320039e-18
3.040000000000000036e+00 4.746861375902120153e-18
3.040000000000000036e+00 4.746861375902120153e-18
3.040000000000000036e+00 4.746861375902120153e-18
3.200000000000000178e+00 -9.831507110602939715e-18
3.200000000000000178e+00 -9.831507110602939715e-18
3.200000000000000178e+00 -9.831507110602939715e-18
3.359999999999999876e+00 8.649587875365149515e-18
3.359999999999999876e+00 8.649587875365149515e-18
3.359999999999999876e+00 8.649587875365149515e-18
3.520000000000000018e+00 -1.219440119144269993e-18
3.520000000000000018e+00 -1.219440119144269993e-18
3.520000000000000018e+00 -1.219440119144269993e-18
3.680000000000000160e+00 -6.561082778828470376e-18
3.680000000000000160e+00 -6.561082778828470376e-18
3.680000000000000160e+00 -6.561082778828470376e-18
3.839999999999999858e+00 8.180250091810409397e-18
3.839999999999999858e+00 8.180250091810409397e-18
3.839999999999999858e+00 8.180250091810409397e-18
4.000000000000000000e+00 -3.579001331763029795e-18
4.000000000000000000e+00 -3.579001331763029795e-18
4.000000000000000000e+00 -3.579001331763029795e-18
4.160000000000000142e+00 -8.205987034627309519e-19
4.160000000000000142e+00 -8.205987034627309519e-19
4.160000000000000142e+00 -8.205987034627309519e-19
4.320000000000000284e+00 9.265083953338479770e-19
4.320000000000000284e+00 9.265083953338479770e-19
4.320000000000000284e+00 9.265083953338479770e-19
4.480000000000000426e+00 3.964684100316789881e-19
4.480000000000000426e+00 3.964684100316789881e-19
4.480000000000000426e+00 3.964684100316789881e-19
4.639999999999999680e+00 1.119103126485740066e-18
4.639999999999999680e+00 1.119103126485740066e-18
4.639999999999999680e+00 1.119103126485740066e-18
4.799999999999999822e+00 -4.351496024170339858e-18
4.799999999999999822e+00 -4.351496024170339858e-18
4.799999999999999822e+00 -4.351496024170339858e-18
4.959999999999999964e+00 4.867508878865230276e-18
4.959999999999999964e+00 4.867508878865230276e-18
4.959999999999999964e+00 4.867508878865230276e-18
5.120000000000000107e+00 -1.825917748099249902e-18
5.120000000000000107e+00 -1.825917748099249902e-18
5.120000000000000107e+00 -1.825917748099249902e-18
5.280000000000000249e+00 -1.242435347468939968e-18
5.280000000000000249e+00 -1.242435347468939968e-18
5.280000000000000249e+00 -1.242435347468939968e-18
5.440000000000000391e+00 2.095758739308160012e-18
5.440000000000000391e+00 2.095758739308160012e-18
5.440000000000000391e+00 2.095758739308160012e-18
5.599999999999999645e+00 -1.935022769186870009e-18
5.599999999999999645e+00 -1.935022769186870009e-18
5.599999999999999645e+00 -1.935022769186870009e-18
5.759999999999999787e+00 1.659154437143050068e-18
5.759999999999999787e+00 1.659154437143050068e-18
5.759999999999999787e+00 1.659154437143050068e-18
5.919999999999999929e+00 -4.826318950188809925e-19
5.919999999999999929e+00 -4.826318950188809925e-19
5.919999999999999929e+00 -4.826318950188809925e-19
6.080000000000000071e+00 -1.680831250559909918e-18
6.080000000000000071e+00 -1.680831250559909918e-18
6.080000000000000071e+00 -1.680831250559909918e-18
6.240000000000000213e+00 3.093685422622879927e-18
6.240000000000000213e+00 3.093685422622879927e-18
6.240000000000000213e+00 3.093685422622879927e-18
6.400000000000000355e+00 -2.312594016054710104e-18
6.400000000000000355e+00 -2.312594016054710104e-18
6.400000000000000355e+00 -2.312594016054710104e-18
6.559999999999999609e+00 9.896029561144720277e-19
6.559999999999999609e+00 9.896029561144720277e-19
6.559999999999999609e+00 9.896029561144720277e-19
6.719999999999999751e+00 -1.305525181231370008e-18
6.719999999999999751e+00 -1.305525181231370008e-18
6.719999999999999751e+00 -1.305525181231370008e-18
6.879999999999999893e+00 2.041333642991589979e-18
6.879999999999999893e+00 2.041333642991589979e-18
6.879999999999999893e+00 2.041333642991589979e-18
7.040000000000000036e+00 -1.590600973335859999e-19
7.040000000000000036e+00 -1.590600973335859999e-19
7.040000000000000036e+00 -1.590600973335859999e-19
7.200000000000000178e+00 -3.729206979517919750e-18
7.200000000000000178e+00 -3.729206979517919750e-18
7.200000000000000178e+00 -3.729206979517919750e-18
7.360000000000000320e+00 5.471755999830640214e-18
7.360000000000000320e+00 5.471755999830640214e-18
