t shift
0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00
2.500000000000000000e-01 -3.107155941376119965e-21
2.500000000000000000e-01 -3.107155941376119965e-21
2.500000000000000000e-01 -3.107155941376119965e-21
5.000000000000000000e-01 -5.865910551053709412e-20
5.000000000000000000e-01 -5.865910551053709412e-20
5.000000000000000000e-01 -5.865910551053709412e-20
7.500000000000000000e-01 -1.853829223417930087e-19
7.500000000000000000e-01 -1.853829223417930087e-19
7.500000000000000000e-01 -1.853829223417930087e-19
1.000000000000000000e+00 -1.125900554288490043e-18
1.000000000000000000e+00 -1.125900554288490043e-18
1.000000000000000000e+00 -1.125900554288490043e-18
1.250000000000000000e+00 -8.408319315925390320e-19
1.250000000000000000e+00 -8.408319315925390320e-19
1.250000000000000000e+00 -8.408319315925390320e-19
1.500000000000000000e+00 1.332532975843179948e-20
1.500000000000000000e+00 1.332532975843179948e-20
1.500000000000000000e+00 1.332532975843179948e-20
1.750000000000000000e+00 3.028532395060079826e-19
1.750000000000000000e+00 3.028532395060079826e-19
1.750000000000000000e+00 3.028532395060079826e-19
2.000000000000000000e+00 4.686903868959089534e-19
2.000000000000000000e+00 4.686903868959089534e-19
2.000000000000000000e+00 4.686903868959089534e-19
2.250000000000000000e+00 9.824889256845889642e-19
2.250000000000000000e+00 9.824889256845889642e-19
2.250000000000000000e+00 9.824889256845889642e-19
