t shift
0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00
8.000000000000000167e-02 -3.234031871697770117e-10
8.000000000000000167e-02 -3.234031871697770117e-10
8.000000000000000167e-02 -3.234031871697770117e-10
1.600000000000000033e-01 -8.703357877897369839e-10
1.600000000000000033e-01 -8.703357877897369839e-10
1.600000000000000033e-01 -8.703357877897369839e-10
1.600000000000000033e-01 -8.703357877897369839e-10
2.399999999999999911e-01 -8.922156594776619628e-10
2.399999999999999911e-01 -8.922156594776619628e-10
2.399999999999999911e-01 -8.922156594776619628e-10
3.200000000000000067e-01 -1.310131918641449910e-09
3.200000000000000067e-01 -1.310131918641449910e-09
3.200000000000000067e-01 -1.310131918641449910e-09
3.200000000000000067e-01 -1.310131918641449910e-09
4.000000000000000222e-01 -1.394809476583689915e-09
4.000000000000000222e-01 -1.394809476583689915e-09
4.000000000000000222e-01 -1.394809476583689915e-09
4.799999999999999822e-01 -1.500552770239170059e-09
4.799999999999999822e-01 -1.500552770239170059e-09
4.799999999999999822e-01 -1.500552770239170059e-09
4.799999999999999822e-01 -1.500552770239170059e-09
5.600000000000000533e-01 -1.708181463573100002e-09
5.600000000000000533e-01 -1.708181463573100002e-09
5.600000000000000533e-01 -1.708181463573100002e-09
6.400000000000000133e-01 -1.669819173446310042e-09
6.400000000000000133e-01 -1.669819173446310042e-09
6.400000000000000133e-01 -1.669819173446310042e-09
6.400000000000000133e-01 -1.669819173446310042e-09
7.199999999999999734e-01 -1.838596161803370053e-09
7.199999999999999734e-01 -1.838596161803370053e-09
7.199999999999999734e-01 -1.838596161803370053e-09
8.000000000000000444e-01 -1.858462178530610012e-09
8.000000000000000444e-01 -1.858462178530610012e-09
8.000000000000000444e-01 -1.858462178530610012e-09
8.000000000000000444e-01 -1.858462178530610012e-09
8.800000000000000044e-01 -1.900688219365649985e-09
8.800000000000000044e-01 -1.900688219365649985e-09
8.800000000000000044e-01 -1.900688219365649985e-09
9.599999999999999645e-01 -1.998020415750819828e-09
9.599999999999999645e-01 -1.998020415750819828e-09
9.599999999999999645e-01 -1.998020415750819828e-09
9.599999999999999645e-01 -1.998020415750819828e-09
1.040000000000000036e+00 -1.976052470699810160e-09
1.040000000000000036e+00 -1.976052470699810160e-09
1.040000000000000036e+00 -1.976052470699810160e-09
1.120000000000000107e+00 -2.066119373280759797e-09
1.120000000000000107e+00 -2.066119373280759797e-09
1.120000000000000107e+00 -2.066119373280759797e-09
1.120000000000000107e+00 -2.066119373280759797e-09
1.199999999999999956e+00 -2.073183847053299821e-09
1.199999999999999956e+00 -2.073183847053299821e-09
1.199999999999999956e+00 -2.073183847053299821e-09
1.280000000000000027e+00 -2.100621540888360095e-09
1.280000000000000027e+00 -2.100621540888360095e-09
1.280000000000000027e+00 -2.100621540888360095e-09
1.280000000000000027e+00 -2.100621540888360095e-09
1.360000000000000098e+00 -2.149890335883989981e-09
1.360000000000000098e+00 -2.149890335883989981e-09
1.360000000000000098e+00 -2.149890335883989981e-09
1.439999999999999947e+00 -2.142908724318179840e-09
1.439999999999999947e+00 -2.142908724318179840e-09
1.439999999999999947e+00 -2.142908724318179840e-09
1.439999999999999947e+00 -2.142908724318179840e-09
1.520000000000000018e+00 -2.189363191274679864e-09
1.520000000000000018e+00 -2.189363191274679864e-09
1.520000000000000018e+00 -2.189363191274679864e-09
1.600000000000000089e+00 -2.193789089137399937e-09
1.600000000000000089e+00 -2.193789089137399937e-09
1.600000000000000089e+00 -2.193789089137399937e-09
1.600000000000000089e+00 -2.193789089137399937e-09
1.679999999999999938e+00 -2.209902182521410063e-09
1.679999999999999938e+00 -2.209902182521410063e-09
1.679999999999999938e+00 -2.209902182521410063e-09
1.760000000000000009e+00 -2.233978957073179903e-09
1.760000000000000009e+00 -2.233978957073179903e-09
1.760000000000000009e+00 -2.233978957073179903e-09
1.760000000000000009e+00 -2.233978957073179903e-09
1.840000000000000080e+00 -2.231326862525839902e-09
1.840000000000000080e+00 -2.231326862525839902e-09
1.840000000000000080e+00 -2.231326862525839902e-09
1.919999999999999929e+00 -2.254437361500499995e-09
1.919999999999999929e+00 -2.254437361500499995e-09
1.919999999999999929e+00 -2.254437361500499995e-09
1.919999999999999929e+00 -2.254437361500499995e-09
2.000000000000000000e+00 -2.255797627669819802e-09
2.000000000000000000e+00 -2.255797627669819802e-09
2.000000000000000000e+00 -2.255797627669819802e-09
2.080000000000000071e+00 -2.265531830216750082e-09
2.080000000000000071e+00 -2.265531830216750082e-09
2.080000000000000071e+00 -2.265531830216750082e-09
2.080000000000000071e+00 -2.265531830216750082e-09
2.160000000000000142e+00 -2.277967971858080091e-09
2.160000000000000142e+00 -2.277967971858080091e-09
2.160000000000000142e+00 -2.277967971858080091e-09
2.240000000000000213e+00 -2.276630914229110132e-09
2.240000000000000213e+00 -2.276630914229110132e-09
2.240000000000000213e+00 -2.276630914229110132e-09
2.240000000000000213e+00 -2.276630914229110132e-09
2.319999999999999840e+00 -2.287422519316309998e-09
2.319999999999999840e+00 -2.287422519316309998e-09
2.319999999999999840e+00 -2.287422519316309998e-09
2.399999999999999911e+00 -2.288784475303099873e-09
2.399999999999999911e+00 -2.288784475303099873e-09
2.399999999999999911e+00 -2.288784475303099873e-09
2.399999999999999911e+00 -2.288784475303099873e-09
2.479999999999999982e+00 -2.293927021886399986e-09
2.479999999999999982e+00 -2.293927021886399986e-09
2.479999999999999982e+00 -2.293927021886399986e-09
2.560000000000000053e+00 -2.297706302405559899e-09
2.560000000000000053e+00 -2.297706302405559899e-09
2.560000000000000053e+00 -2.297706302405559899e-09
2.560000000000000053e+00 -2.297706302405559899e-09
2.640000000000000124e+00 -2.296873463348450133e-09
2.640000000000000124e+00 -2.296873463348450133e-09
2.640000000000000124e+00 -2.296873463348450133e-09
2.720000000000000195e+00 -2.303661911332809975e-09
2.720000000000000195e+00 -2.303661911332809975e-09
2.720000000000000195e+00 -2.303661911332809975e-09
2.720000000000000195e+00 -2.303661911332809975e-09
2.799999999999999822e+00 -2.301812518685509910e-09
2.799999999999999822e+00 -2.301812518685509910e-09
2.799999999999999822e+00 -2.301812518685509910e-09
2.879999999999999893e+00 -2.302422236658579976e-09
2.879999999999999893e+00 -2.302422236658579976e-09
2.879999999999999893e+00 -2.302422236658579976e-09
2.879999999999999893e+00 -2.302422236658579976e-09
2.959999999999999964e+00 -2.304813970209610183e-09
2.959999999999999964e+00 -2.304813970209610183e-09
2.959999999999999964e+00 -2.304813970209610183e-09
3.040000000000000036e+00 -2.303690127100149921e-09
3.040000000000000036e+00 -2.303690127100149921e-09
3.040000000000000036e+00 -2.303690127100149921e-09
3.040000000000000036e+00 -2.303690127100149921e-09
