t shift
0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00
8.000000000000000167e-02 -3.177366111550170160e-15
8.000000000000000167e-02 -3.177366111550170160e-15
8.000000000000000167e-02 -3.177366111550170160e-15
1.600000000000000033e-01 -6.420835683524540055e-14
1.600000000000000033e-01 -6.420835683524540055e-14
1.600000000000000033e-01 -6.420835683524540055e-14
1.600000000000000033e-01 -6.420835683524540055e-14
2.399999999999999911e-01 -2.592392389395650060e-13
2.399999999999999911e-01 -2.592392389395650060e-13
2.399999999999999911e-01 -2.592392389395650060e-13
3.200000000000000067e-01 -6.116714320318280283e-13
3.200000000000000067e-01 -6.116714320318280283e-13
3.200000000000000067e-01 -6.116714320318280283e-13
3.200000000000000067e-01 -6.116714320318280283e-13
4.000000000000000222e-01 -1.177218126399809957e-12
4.000000000000000222e-01 -1.177218126399809957e-12
4.000000000000000222e-01 -1.177218126399809957e-12
4.799999999999999822e-01 -1.987443240128370145e-12
4.799999999999999822e-01 -1.987443240128370145e-12
4.799999999999999822e-01 -1.987443240128370145e-12
4.799999999999999822e-01 -1.987443240128370145e-12
5.600000000000000533e-01 -3.053685780310640161e-12
5.600000000000000533e-01 -3.053685780310640161e-12
5.600000000000000533e-01 -3.053685780310640161e-12
6.400000000000000133e-01 -4.422332206270269621e-12
6.400000000000000133e-01 -4.422332206270269621e-12
6.400000000000000133e-01 -4.422332206270269621e-12
6.400000000000000133e-01 -4.422332206270269621e-12
7.199999999999999734e-01 -6.087439984210999984e-12
7.199999999999999734e-01 -6.087439984210999984e-12
7.199999999999999734e-01 -6.087439984210999984e-12
8.000000000000000444e-01 -8.081630704672609759e-12
8.000000000000000444e-01 -8.081630704672609759e-12
8.000000000000000444e-01 -8.081630704672609759e-12
8.000000000000000444e-01 -8.081630704672609759e-12
8.800000000000000044e-01 -1.040953720939420024e-11
8.800000000000000044e-01 -1.040953720939420024e-11
8.800000000000000044e-01 -1.040953720939420024e-11
9.599999999999999645e-01 -1.308014748834059960e-11
9.599999999999999645e-01 -1.308014748834059960e-11
9.599999999999999645e-01 -1.308014748834059960e-11
9.599999999999999645e-01 -1.308014748834059960e-11
1.040000000000000036e+00 -1.610944532931869898e-11
1.040000000000000036e+00 -1.610944532931869898e-11
1.040000000000000036e+00 -1.610944532931869898e-11
1.120000000000000107e+00 -1.949482797232259860e-11
1.120000000000000107e+00 -1.949482797232259860e-11
1.120000000000000107e+00 -1.949482797232259860e-11
1.120000000000000107e+00 -1.949482797232259860e-11
1.199999999999999956e+00 -2.324979877440099991e-11
1.199999999999999956e+00 -2.324979877440099991e-11
1.199999999999999956e+00 -2.324979877440099991e-11
1.280000000000000027e+00 -2.737519559576640138e-11
1.280000000000000027e+00 -2.737519559576640138e-11
1.280000000000000027e+00 -2.737519559576640138e-11
1.280000000000000027e+00 -2.737519559576640138e-11
1.360000000000000098e+00 -3.187425643497150021e-11
1.360000000000000098e+00 -3.187425643497150021e-11
1.360000000000000098e+00 -3.187425643497150021e-11
1.439999999999999947e+00 -3.675366758102470280e-11
1.439999999999999947e+00 -3.675366758102470280e-11
1.439999999999999947e+00 -3.675366758102470280e-11
1.439999999999999947e+00 -3.675366758102470280e-11
1.520000000000000018e+00 -4.201079392251970298e-11
1.520000000000000018e+00 -4.201079392251970298e-11
1.520000000000000018e+00 -4.201079392251970298e-11
1.600000000000000089e+00 -4.765219200612000267e-11
1.600000000000000089e+00 -4.765219200612000267e-11
1.600000000000000089e+00 -4.765219200612000267e-11
1.600000000000000089e+00 -4.765219200612000267e-11
1.679999999999999938e+00 -5.367601610466149869e-11
1.679999999999999938e+00 -5.367601610466149869e-11
1.679999999999999938e+00 -5.367601610466149869e-11
1.760000000000000009e+00 -6.008407262580899755e-11
1.760000000000000009e+00 -6.008407262580899755e-11
1.760000000000000009e+00 -6.008407262580899755e-11
1.760000000000000009e+00 -6.008407262580899755e-11
1.840000000000000080e+00 -6.687919018036099753e-11
1.840000000000000080e+00 -6.687919018036099753e-11
1.840000000000000080e+00 -6.687919018036099753e-11
1.919999999999999929e+00 -7.405903483309190251e-11
1.919999999999999929e+00 -7.405903483309190251e-11
1.919999999999999929e+00 -7.405903483309190251e-11
1.919999999999999929e+00 -7.405903483309190251e-11
2.000000000000000000e+00 -8.162615010505640398e-11
2.000000000000000000e+00 -8.162615010505640398e-11
2.000000000000000000e+00 -8.162615010505640398e-11
2.080000000000000071e+00 -8.934862567262339646e-11
2.080000000000000071e+00 -8.934862567262339646e-11
2.080000000000000071e+00 -8.934862567262339646e-11
2.080000000000000071e+00 -8.934862567262339646e-11
2.160000000000000142e+00 -9.500128259479339440e-11
2.160000000000000142e+00 -9.500128259479339440e-11
2.160000000000000142e+00 -9.500128259479339440e-11
2.240000000000000213e+00 -1.012533744555569999e-10
2.240000000000000213e+00 -1.012533744555569999e-10
2.240000000000000213e+00 -1.012533744555569999e-10
2.240000000000000213e+00 -1.012533744555569999e-10
2.319999999999999840e+00 -1.087736963346279978e-10
2.319999999999999840e+00 -1.087736963346279978e-10
2.319999999999999840e+00 -1.087736963346279978e-10
2.399999999999999911e+00 -1.118119712526560044e-10
2.399999999999999911e+00 -1.118119712526560044e-10
2.399999999999999911e+00 -1.118119712526560044e-10
2.399999999999999911e+00 -1.118119712526560044e-10
2.479999999999999982e+00 -1.162641170134739962e-10
2.479999999999999982e+00 -1.162641170134739962e-10
2.479999999999999982e+00 -1.162641170134739962e-10
2.560000000000000053e+00 -1.239659841029979913e-10
2.560000000000000053e+00 -1.239659841029979913e-10
2.560000000000000053e+00 -1.239659841029979913e-10
2.560000000000000053e+00 -1.239659841029979913e-10
2.640000000000000124e+00 -1.291100941567809924e-10
2.640000000000000124e+00 -1.291100941567809924e-10
2.640000000000000124e+00 -1.291100941567809924e-10
2.720000000000000195e+00 -1.322543935569620112e-10
2.720000000000000195e+00 -1.322543935569620112e-10
2.720000000000000195e+00 -1.322543935569620112e-10
2.720000000000000195e+00 -1.322543935569620112e-10
2.799999999999999822e+00 -1.400800427727879887e-10
2.799999999999999822e+00 -1.400800427727879887e-10
2.799999999999999822e+00 -1.400800427727879887e-10
2.879999999999999893e+00 -1.474633404417340050e-10
2.879999999999999893e+00 -1.474633404417340050e-10
2.879999999999999893e+00 -1.474633404417340050e-10
2.879999999999999893e+00 -1.474633404417340050e-10
2.959999999999999964e+00 -1.515759884901120019e-10
2.959999999999999964e+00 -1.515759884901120019e-10
2.959999999999999964e+00 -1.515759884901120019e-10
3.040000000000000036e+00 -1.575655957548850029e-10
3.040000000000000036e+00 -1.575655957548850029e-10
3.040000000000000036e+00 -1.575655957548850029e-10
3.040000000000000036e+00 -1.575655957548850029e-10
