t shift
0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00
8.000000000000000167e-02 -2.244035134313020016e-10
8.000000000000000167e-02 -2.244035134313020016e-10
1.600000000000000033e-01 -1.300712293679630046e-09
1.600000000000000033e-01 -1.300712293679630046e-09
1.600000000000000033e-01 -1.300712293679630046e-09
2.399999999999999911e-01 -2.748775349354059892e-09
2.399999999999999911e-01 -2.748775349354059892e-09
3.200000000000000067e-01 -3.611288670327050170e-09
3.200000000000000067e-01 -3.611288670327050170e-09
3.200000000000000067e-01 -3.611288670327050170e-09
4.000000000000000222e-01 -3.804278058623720002e-09
4.000000000000000222e-01 -3.804278058623720002e-09
4.799999999999999822e-01 -4.035353668361510033e-09
4.799999999999999822e-01 -4.035353668361510033e-09
4.799999999999999822e-01 -4.035353668361510033e-09
5.600000000000000533e-01 -4.684665021847319983e-09
5.600000000000000533e-01 -4.684665021847319983e-09
6.400000000000000133e-01 -5.428953050616109860e-09
6.400000000000000133e-01 -5.428953050616109860e-09
6.400000000000000133e-01 -5.428953050616109860e-09
7.199999999999999734e-01 -5.804862079907070303e-09
7.199999999999999734e-01 -5.804862079907070303e-09
8.000000000000000444e-01 -5.796508688448499956e-09
8.000000000000000444e-01 -5.796508688448499956e-09
8.000000000000000444e-01 -5.796508688448499956e-09
8.800000000000000044e-01 -5.795667693521390123e-09
8.800000000000000044e-01 -5.795667693521390123e-09
9.599999999999999645e-01 -6.053387611076690363e-09
9.599999999999999645e-01 -6.053387611076690363e-09
9.599999999999999645e-01 -6.053387611076690363e-09
1.040000000000000036e+00 -6.386275099791480263e-09
1.040000000000000036e+00 -6.386275099791480263e-09
1.120000000000000107e+00 -6.474240376065029662e-09
1.120000000000000107e+00 -6.474240376065029662e-09
1.120000000000000107e+00 -6.474240376065029662e-09
1.199999999999999956e+00 -6.302758180375580134e-09
1.199999999999999956e+00 -6.302758180375580134e-09
1.280000000000000027e+00 -6.172410696903760401e-09
1.280000000000000027e+00 -6.172410696903760401e-09
1.280000000000000027e+00 -6.172410696903760401e-09
1.360000000000000098e+00 -6.275140879476339764e-09
1.360000000000000098e+00 -6.275140879476339764e-09
1.439999999999999947e+00 -6.448572097538259669e-09
1.439999999999999947e+00 -6.448572097538259669e-09
1.439999999999999947e+00 -6.448572097538259669e-09
1.520000000000000018e+00 -6.450377939130110125e-09
1.520000000000000018e+00 -6.450377939130110125e-09
1.600000000000000089e+00 -6.307011716598749881e-09
1.600000000000000089e+00 -6.307011716598749881e-09
1.600000000000000089e+00 -6.307011716598749881e-09
1.679999999999999938e+00 -6.235800649751670159e-09
1.679999999999999938e+00 -6.235800649751670159e-09
1.760000000000000009e+00 -6.324023141627439984e-09
1.760000000000000009e+00 -6.324023141627439984e-09
1.760000000000000009e+00 -6.324023141627439984e-09
1.840000000000000080e+00 -6.445915525252320102e-09
1.840000000000000080e+00 -6.445915525252320102e-09
1.919999999999999929e+00 -6.468807172676189974e-09
1.919999999999999929e+00 -6.468807172676189974e-09
1.919999999999999929e+00 -6.468807172676189974e-09
2.000000000000000000e+00 -6.416974294040270130e-09
2.000000000000000000e+00 -6.416974294040270130e-09
2.080000000000000071e+00 -6.408198194475209924e-09
2.080000000000000071e+00 -6.408198194475209924e-09
2.080000000000000071e+00 -6.408198194475209924e-09
2.160000000000000142e+00 -6.494097398187130021e-09
2.160000000000000142e+00 -6.494097398187130021e-09
2.240000000000000213e+00 -6.605972477320370298e-09
2.240000000000000213e+00 -6.605972477320370298e-09
2.240000000000000213e+00 -6.605972477320370298e-09
2.319999999999999840e+00 -6.652843268679540405e-09
2.319999999999999840e+00 -6.652843268679540405e-09
2.399999999999999911e+00 -6.639836008070290105e-09
2.399999999999999911e+00 -6.639836008070290105e-09
2.399999999999999911e+00 -6.639836008070290105e-09
2.479999999999999982e+00 -6.652878350798549592e-09
2.479999999999999982e+00 -6.652878350798549592e-09
2.560000000000000053e+00 -6.734661472030399723e-09
2.560000000000000053e+00 -6.734661472030399723e-09
2.560000000000000053e+00 -6.734661472030399723e-09
2.640000000000000124e+00 -6.830200608857279635e-09
2.640000000000000124e+00 -6.830200608857279635e-09
2.720000000000000195e+00 -6.874148814675850336e-09
2.720000000000000195e+00 -6.874148814675850336e-09
2.720000000000000195e+00 -6.874148814675850336e-09
2.799999999999999822e+00 -6.880873343285649933e-09
2.799999999999999822e+00 -6.880873343285649933e-09
2.879999999999999893e+00 -6.909702087114040294e-09
2.879999999999999893e+00 -6.909702087114040294e-09
2.879999999999999893e+00 -6.909702087114040294e-09
2.959999999999999964e+00 -6.975060479494040266e-09
2.959999999999999964e+00 -6.975060479494040266e-09
3.040000000000000036e+00 -7.036181461695620048e-09
3.040000000000000036e+00 -7.036181461695620048e-09
3.040000000000000036e+00 -7.036181461695620048e-09
3.120000000000000107e+00 -7.063474270066910233e-09
3.120000000000000107e+00 -7.063474270066910233e-09
3.200000000000000178e+00 -7.074984723984249672e-09
3.200000000000000178e+00 -7.074984723984249672e-09
3.200000000000000178e+00 -7.074984723984249672e-09
3.279999999999999805e+00 -7.101498004802040002e-09
3.279999999999999805e+00 -7.101498004802040002e-09
3.359999999999999876e+00 -7.143230979227760077e-09
3.359999999999999876e+00 -7.143230979227760077e-09
3.359999999999999876e+00 -7.143230979227760077e-09
3.439999999999999947e+00 -7.177141863822079740e-09
3.439999999999999947e+00 -7.177141863822079740e-09
3.520000000000000018e+00 -7.193378572318319942e-09
3.520000000000000018e+00 -7.193378572318319942e-09
3.520000000000000018e+00 -7.193378572318319942e-09
3.600000000000000089e+00 -7.206035938581190215e-09
3.600000000000000089e+00 -7.206035938581190215e-09
3.680000000000000160e+00 -7.230169650041950006e-09
3.680000000000000160e+00 -7.230169650041950006e-09
3.680000000000000160e+00 -7.230169650041950006e-09
3.759999999999999787e+00 -7.262184726369120085e-09
3.759999999999999787e+00 -7.262184726369120085e-09
3.839999999999999858e+00 -7.287288144172039643e-09
3.839999999999999858e+00 -7.287288144172039643e-09
3.839999999999999858e+00 -7.287288144172039643e-09
3.919999999999999929e+00 -7.298803683042860313e-09
3.919999999999999929e+00 -7.298803683042860313e-09
4.000000000000000000e+00 -7.305155072834529781e-09
4.000000000000000000e+00 -7.305155072834529781e-09
4.000000000000000000e+00 -7.305155072834529781e-09
4.080000000000000071e+00 -7.319216932244329656e-09
4.080000000000000071e+00 -7.319216932244329656e-09
4.160000000000000142e+00 -7.342408910664189620e-09
4.160000000000000142e+00 -7.342408910664189620e-09
4.160000000000000142e+00 -7.342408910664189620e-09
4.240000000000000213e+00 -7.362798492192189866e-09
4.240000000000000213e+00 -7.362798492192189866e-09
4.320000000000000284e+00 -7.372079174371349961e-09
4.320000000000000284e+00 -7.372079174371349961e-09
