t shift
0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00
3.200000000000000067e-01 1.196581930386590021e-15
3.200000000000000067e-01 1.196581930386590021e-15
3.200000000000000067e-01 1.196581930386590021e-15
3.200000000000000067e-01 1.196581930386590021e-15
6.400000000000000133e-01 6.537210576621409987e-15
6.400000000000000133e-01 6.537210576621409987e-15
6.400000000000000133e-01 6.537210576621409987e-15
6.400000000000000133e-01 6.537210576621409987e-15
9.599999999999999645e-01 -5.407658070294650147e-15
9.599999999999999645e-01 -5.407658070294650147e-15
9.599999999999999645e-01 -5.407658070294650147e-15
9.599999999999999645e-01 -5.407658070294650147e-15
1.280000000000000027e+00 4.366015095246440137e-15
1.280000000000000027e+00 4.366015095246440137e-15
1.280000000000000027e+00 4.366015095246440137e-15
1.280000000000000027e+00 4.366015095246440137e-15
1.600000000000000089e+00 -2.688303933680410045e-15
1.600000000000000089e+00 -2.688303933680410045e-15
1.600000000000000089e+00 -2.688303933680410045e-15
1.600000000000000089e+00 -2.688303933680410045e-15
1.919999999999999929e+00 1.068764658937610041e-15
1.919999999999999929e+00 1.068764658937610041e-15
1.919999999999999929e+00 1.068764658937610041e-15
1.919999999999999929e+00 1.068764658937610041e-15
2.240000000000000213e+00 1.914797814284309910e-16
2.240000000000000213e+00 1.914797814284309910e-16
2.240000000000000213e+00 1.914797814284309910e-16
2.240000000000000213e+00 1.914797814284309910e-16
2.560000000000000053e+00 -7.335598845625329973e-16
2.560000000000000053e+00 -7.335598845625329973e-16
2.560000000000000053e+00 -7.335598845625329973e-16
2.560000000000000053e+00 -7.335598845625329973e-16
2.879999999999999893e+00 8.974919149640529554e-16
2.879999999999999893e+00 8.974919149640529554e-16
2.879999999999999893e+00 8.974919149640529554e-16
2.879999999999999893e+00 8.974919149640529554e-16
3.200000000000000178e+00 -1.095183892588429995e-15
3.200000000000000178e+00 -1.095183892588429995e-15
3.200000000000000178e+00 -1.095183892588429995e-15
3.200000000000000178e+00 -1.095183892588429995e-15
3.520000000000000018e+00 8.522378117728290227e-16
3.520000000000000018e+00 8.522378117728290227e-16
3.520000000000000018e+00 8.522378117728290227e-16
3.520000000000000018e+00 8.522378117728290227e-16
3.839999999999999858e+00 -3.153306641807299829e-15
3.839999999999999858e+00 -3.153306641807299829e-15
3.839999999999999858e+00 -3.153306641807299829e-15
3.839999999999999858e+00 -3.153306641807299829e-15
4.160000000000000142e+00 7.017880664725840205e-17
4.160000000000000142e+00 7.017880664725840205e-17
4.160000000000000142e+00 7.017880664725840205e-17
4.160000000000000142e+00 7.017880664725840205e-17
4.480000000000000426e+00 -1.173928984459239904e-15
4.480000000000000426e+00 -1.173928984459239904e-15
4.480000000000000426e+00 -1.173928984459239904e-15
4.480000000000000426e+00 -1.173928984459239904e-15
4.799999999999999822e+00 1.158715562319350096e-15
4.799999999999999822e+00 1.158715562319350096e-15
4.799999999999999822e+00 1.158715562319350096e-15
4.799999999999999822e+00 1.158715562319350096e-15
5.120000000000000107e+00 -1.790273123046789894e-15
5.120000000000000107e+00 -1.790273123046789894e-15
5.120000000000000107e+00 -1.790273123046789894e-15
5.120000000000000107e+00 -1.790273123046789894e-15
5.440000000000000391e+00 5.620431902818810002e-15
5.440000000000000391e+00 5.620431902818810002e-15
5.440000000000000391e+00 5.620431902818810002e-15
5.440000000000000391e+00 5.620431902818810002e-15
5.759999999999999787e+00 -1.284531823863499982e-15
5.759999999999999787e+00 -1.284531823863499982e-15
5.759999999999999787e+00 -1.284531823863499982e-15
5.759999999999999787e+00 -1.284531823863499982e-15
6.080000000000000071e+00 1.233507943620920047e-15
6.080000000000000071e+00 1.233507943620920047e-15
6.080000000000000071e+00 1.233507943620920047e-15
6.080000000000000071e+00 1.233507943620920047e-15
6.400000000000000355e+00 -6.916061025583490065e-16
6.400000000000000355e+00 -6.916061025583490065e-16
6.400000000000000355e+00 -6.916061025583490065e-16
6.400000000000000355e+00 -6.916061025583490065e-16
6.719999999999999751e+00 -5.930828712725499844e-15
6.719999999999999751e+00 -5.930828712725499844e-15
6.719999999999999751e+00 -5.930828712725499844e-15
6.719999999999999751e+00 -5.930828712725499844e-15
7.040000000000000036e+00 6.481549474210760317e-15
7.040000000000000036e+00 6.481549474210760317e-15
7.040000000000000036e+00 6.481549474210760317e-15
7.040000000000000036e+00 6.481549474210760317e-15
7.360000000000000320e+00 -7.941581965954159215e-15
7.360000000000000320e+00 -7.941581965954159215e-15
7.360000000000000320e+00 -7.941581965954159215e-15
7.360000000000000320e+00 -7.941581965954159215e-15
7.679999999999999716e+00 9.783468619596490399e-15
7.679999999999999716e+00 9.783468619596490399e-15
7.679999999999999716e+00 9.783468619596490399e-15
7.679999999999999716e+00 9.783468619596490399e-15
8.000000000000000000e+00 -6.782482924375559781e-15
8.000000000000000000e+00 -6.782482924375559781e-15
8.000000000000000000e+00 -6.782482924375559781e-15
8.000000000000000000e+00 -6.782482924375559781e-15
8.320000000000000284e+00 1.997902678030269830e-15
8.320000000000000284e+00 1.997902678030269830e-15
8.320000000000000284e+00 1.997902678030269830e-15
8.320000000000000284e+00 1.997902678030269830e-15
8.640000000000000568e+00 -4.322801005091210239e-15
8.640000000000000568e+00 -4.322801005091210239e-15
8.640000000000000568e+00 -4.322801005091210239e-15
8.640000000000000568e+00 -4.322801005091210239e-15
8.960000000000000853e+00 6.758338854614629905e-18
8.960000000000000853e+00 6.758338854614629905e-18
8.960000000000000853e+00 6.758338854614629905e-18
8.960000000000000853e+00 6.758338854614629905e-18
9.279999999999999361e+00 6.180418088549070129e-15
9.279999999999999361e+00 6.180418088549070129e-15
9.279999999999999361e+00 6.180418088549070129e-15
9.279999999999999361e+00 6.180418088549070129e-15
9.599999999999999645e+00 -4.615967276602470390e-15
9.599999999999999645e+00 -4.615967276602470390e-15
9.599999999999999645e+00 -4.615967276602470390e-15
9.599999999999999645e+00 -4.615967276602470390e-15
9.919999999999999929e+00 7.163724862729079576e-15
9.919999999999999929e+00 7.163724862729079576e-15
9.919999999999999929e+00 7.163724862729079576e-15
9.919999999999999929e+00 7.163724862729079576e-15
1.024000000000000021e+01 -6.558901784378150234e-15
1.024000000000000021e+01 -6.558901784378150234e-15
1.024000000000000021e+01 -6.558901784378150234e-15
1.024000000000000021e+01 -6.558901784378150234e-15
1.056000000000000050e+01 5.714166754230660358e-15
1.056000000000000050e+01 5.714166754230660358e-15
1.056000000000000050e+01 5.714166754230660358e-15
1.056000000000000050e+01 5.714166754230660358e-15
1.088000000000000078e+01 -1.419951092816820078e-15
1.088000000000000078e+01 -1.419951092816820078e-15
1.088000000000000078e+01 -1.419951092816820078e-15
1.088000000000000078e+01 -1.419951092816820078e-15
