t shift
0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00
3.200000000000000067e-01 -1.544315935450419991e-09
3.200000000000000067e-01 -1.544315935450419991e-09
3.200000000000000067e-01 -1.544315935450419991e-09
6.400000000000000133e-01 1.223644146986270013e-09
6.400000000000000133e-01 1.223644146986270013e-09
6.400000000000000133e-01 1.223644146986270013e-09
9.599999999999999645e-01 -1.793825386770709984e-09
9.599999999999999645e-01 -1.793825386770709984e-09
9.599999999999999645e-01 -1.793825386770709984e-09
1.280000000000000027e+00 -1.267928437526289974e-09
1.280000000000000027e+00 -1.267928437526289974e-09
1.280000000000000027e+00 -1.267928437526289974e-09
1.600000000000000089e+00 1.722275147261510094e-09
1.600000000000000089e+00 1.722275147261510094e-09
1.600000000000000089e+00 1.722275147261510094e-09
1.919999999999999929e+00 -8.592144829384489814e-10
1.919999999999999929e+00 -8.592144829384489814e-10
1.919999999999999929e+00 -8.592144829384489814e-10
2.240000000000000213e+00 -1.894830616914830174e-09
2.240000000000000213e+00 -1.894830616914830174e-09
2.240000000000000213e+00 -1.894830616914830174e-09
2.560000000000000053e+00 -8.222378984852879538e-10
2.560000000000000053e+00 -8.222378984852879538e-10
2.560000000000000053e+00 -8.222378984852879538e-10
2.879999999999999893e+00 1.066021984947279910e-09
2.879999999999999893e+00 1.066021984947279910e-09
2.879999999999999893e+00 1.066021984947279910e-09
3.200000000000000178e+00 -3.153928164386540193e-09
3.200000000000000178e+00 -3.153928164386540193e-09
3.200000000000000178e+00 -3.153928164386540193e-09
3.520000000000000018e+00 9.346537448160959413e-10
3.520000000000000018e+00 9.346537448160959413e-10
3.520000000000000018e+00 9.346537448160959413e-10
3.839999999999999858e+00 -3.416910942540609969e-09
3.839999999999999858e+00 -3.416910942540609969e-09
3.839999999999999858e+00 -3.416910942540609969e-09
4.160000000000000142e+00 -3.942195537560989596e-09
4.160000000000000142e+00 -3.942195537560989596e-09
4.160000000000000142e+00 -3.942195537560989596e-09
4.480000000000000426e+00 4.566186719989730342e-09
4.480000000000000426e+00 4.566186719989730342e-09
4.480000000000000426e+00 4.566186719989730342e-09
4.799999999999999822e+00 -3.747375009447349714e-09
4.799999999999999822e+00 -3.747375009447349714e-09
4.799999999999999822e+00 -3.747375009447349714e-09
5.120000000000000107e+00 -3.671300341882839877e-09
5.120000000000000107e+00 -3.671300341882839877e-09
5.120000000000000107e+00 -3.671300341882839877e-09
5.440000000000000391e+00 4.366175048117040057e-10
5.440000000000000391e+00 4.366175048117040057e-10
5.440000000000000391e+00 4.366175048117040057e-10
5.759999999999999787e+00 -2.159376697714309961e-11
5.759999999999999787e+00 -2.159376697714309961e-11
5.759999999999999787e+00 -2.159376697714309961e-11
6.080000000000000071e+00 -6.543362022927859894e-09
6.080000000000000071e+00 -6.543362022927859894e-09
6.080000000000000071e+00 -6.543362022927859894e-09
6.400000000000000355e+00 2.390044521607419990e-09
6.400000000000000355e+00 2.390044521607419990e-09
6.400000000000000355e+00 2.390044521607419990e-09
6.719999999999999751e+00 -3.778705903896589795e-09
6.719999999999999751e+00 -3.778705903896589795e-09
6.719999999999999751e+00 -3.778705903896589795e-09
7.040000000000000036e+00 -1.068580670753739932e-09
7.040000000000000036e+00 -1.068580670753739932e-09
7.040000000000000036e+00 -1.068580670753739932e-09
7.360000000000000320e+00 -2.087511534872860142e-09
7.360000000000000320e+00 -2.087511534872860142e-09
7.360000000000000320e+00 -2.087511534872860142e-09
7.679999999999999716e+00 -2.349978931576649856e-09
7.679999999999999716e+00 -2.349978931576649856e-09
7.679999999999999716e+00 -2.349978931576649856e-09
8.000000000000000000e+00 -3.204894714263789916e-09
8.000000000000000000e+00 -3.204894714263789916e-09
8.000000000000000000e+00 -3.204894714263789916e-09
8.320000000000000284e+00 1.162814503244380027e-09
8.320000000000000284e+00 1.162814503244380027e-09
8.320000000000000284e+00 1.162814503244380027e-09
8.640000000000000568e+00 -3.920771411485979715e-11
8.640000000000000568e+00 -3.920771411485979715e-11
8.640000000000000568e+00 -3.920771411485979715e-11
8.960000000000000853e+00 -2.946622378875570130e-09
8.960000000000000853e+00 -2.946622378875570130e-09
8.960000000000000853e+00 -2.946622378875570130e-09
9.279999999999999361e+00 1.429653644017879902e-09
9.279999999999999361e+00 1.429653644017879902e-09
9.279999999999999361e+00 1.429653644017879902e-09
9.599999999999999645e+00 -1.389172944495329932e-09
9.599999999999999645e+00 -1.389172944495329932e-09
9.599999999999999645e+00 -1.389172944495329932e-09
9.919999999999999929e+00 3.828560297472669946e-09
9.919999999999999929e+00 3.828560297472669946e-09
9.919999999999999929e+00 3.828560297472669946e-09
1.024000000000000021e+01 -1.080302710275629978e-09
1.024000000000000021e+01 -1.080302710275629978e-09
1.024000000000000021e+01 -1.080302710275629978e-09
1.056000000000000050e+01 3.235991618759190089e-09
1.056000000000000050e+01 3.235991618759190089e-09
1.056000000000000050e+01 3.235991618759190089e-09
1.088000000000000078e+01 -1.557363793595880077e-09
1.088000000000000078e+01 -1.557363793595880077e-09
1.088000000000000078e+01 -1.557363793595880077e-09
1.119999999999999929e+01 4.512489510015799651e-09
1.119999999999999929e+01 4.512489510015799651e-09
1.119999999999999929e+01 4.512489510015799651e-09
1.151999999999999957e+01 1.546083271139179893e-11
1.151999999999999957e+01 1.546083271139179893e-11
1.151999999999999957e+01 1.546083271139179893e-11
1.183999999999999986e+01 2.317450315366029853e-09
1.183999999999999986e+01 2.317450315366029853e-09
1.183999999999999986e+01 2.317450315366029853e-09
1.216000000000000014e+01 1.051093501311140017e-09
1.216000000000000014e+01 1.051093501311140017e-09
1.216000000000000014e+01 1.051093501311140017e-09
1.248000000000000043e+01 -9.356520446592949356e-10
1.248000000000000043e+01 -9.356520446592949356e-10
1.248000000000000043e+01 -9.356520446592949356e-10
1.280000000000000071e+01 4.582653269467390375e-09
1.280000000000000071e+01 4.582653269467390375e-09
1.280000000000000071e+01 4.582653269467390375e-09
1.311999999999999922e+01 -3.782065222637650213e-10
1.311999999999999922e+01 -3.782065222637650213e-10
1.311999999999999922e+01 -3.782065222637650213e-10
1.343999999999999950e+01 2.942170415617759857e-09
1.343999999999999950e+01 2.942170415617759857e-09
1.343999999999999950e+01 2.942170415617759857e-09
1.375999999999999979e+01 3.356396352861559969e-09
1.375999999999999979e+01 3.356396352861559969e-09
1.375999999999999979e+01 3.356396352861559969e-09
1.408000000000000007e+01 -3.885301521457309807e-09
1.408000000000000007e+01 -3.885301521457309807e-09
1.408000000000000007e+01 -3.885301521457309807e-09
1.440000000000000036e+01 6.168467164813200269e-09
1.440000000000000036e+01 6.168467164813200269e-09
1.440000000000000036e+01 6.168467164813200269e-09
1.472000000000000064e+01 -3.515540218012790177e-09
