t shift
0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00
3.200000000000000067e-01 -2.408010792353249942e-17
3.200000000000000067e-01 -2.408010792353249942e-17
3.200000000000000067e-01 -2.408010792353249942e-17
3.200000000000000067e-01 -2.408010792353249942e-17
6.400000000000000133e-01 -5.107022270579419824e-18
6.400000000000000133e-01 -5.107022270579419824e-18
6.400000000000000133e-01 -5.107022270579419824e-18
6.400000000000000133e-01 -5.107022270579419824e-18
9.599999999999999645e-01 -1.789830545910390005e-17
9.599999999999999645e-01 -1.789830545910390005e-17
9.599999999999999645e-01 -1.789830545910390005e-17
9.599999999999999645e-01 -1.789830545910390005e-17
1.280000000000000027e+00 -3.816112766547149808e-18
1.280000000000000027e+00 -3.816112766547149808e-18
1.280000000000000027e+00 -3.816112766547149808e-18
1.280000000000000027e+00 -3.816112766547149808e-18
1.600000000000000089e+00 1.386960960640690039e-17
1.600000000000000089e+00 1.386960960640690039e-17
1.600000000000000089e+00 1.386960960640690039e-17
1.600000000000000089e+00 1.386960960640690039e-17
1.919999999999999929e+00 8.026110662166309881e-18
1.919999999999999929e+00 8.026110662166309881e-18
1.919999999999999929e+00 8.026110662166309881e-18
1.919999999999999929e+00 8.026110662166309881e-18
2.240000000000000213e+00 1.246034206548699932e-17
2.240000000000000213e+00 1.246034206548699932e-17
2.240000000000000213e+00 1.246034206548699932e-17
2.240000000000000213e+00 1.246034206548699932e-17
2.560000000000000053e+00 9.450860812526870074e-18
2.560000000000000053e+00 9.450860812526870074e-18
2.560000000000000053e+00 9.450860812526870074e-18
2.560000000000000053e+00 9.450860812526870074e-18
2.879999999999999893e+00 -2.092538032450689830e-18
2.879999999999999893e+00 -2.092538032450689830e-18
2.879999999999999893e+00 -2.092538032450689830e-18
2.879999999999999893e+00 -2.092538032450689830e-18
3.200000000000000178e+00 -1.646302250976310043e-18
3.200000000000000178e+00 -1.646302250976310043e-18
3.200000000000000178e+00 -1.646302250976310043e-18
3.200000000000000178e+00 -1.646302250976310043e-18
3.520000000000000018e+00 -8.221864157187799583e-19
3.520000000000000018e+00 -8.221864157187799583e-19
3.520000000000000018e+00 -8.221864157187799583e-19
3.520000000000000018e+00 -8.221864157187799583e-19
3.839999999999999858e+00 2.059330514675070056e-18
3.839999999999999858e+00 2.059330514675070056e-18
3.839999999999999858e+00 2.059330514675070056e-18
3.839999999999999858e+00 2.059330514675070056e-18
4.160000000000000142e+00 4.487538362818459734e-18
4.160000000000000142e+00 4.487538362818459734e-18
4.160000000000000142e+00 4.487538362818459734e-18
4.160000000000000142e+00 4.487538362818459734e-18
4.480000000000000426e+00 4.267486632972310353e-18
4.480000000000000426e+00 4.267486632972310353e-18
4.480000000000000426e+00 4.267486632972310353e-18
4.480000000000000426e+00 4.267486632972310353e-18
4.799999999999999822e+00 1.898993903330599900e-18
4.799999999999999822e+00 1.898993903330599900e-18
4.799999999999999822e+00 1.898993903330599900e-18
4.799999999999999822e+00 1.898993903330599900e-18
5.120000000000000107e+00 -2.183201855613929986e-19
5.120000000000000107e+00 -2.183201855613929986e-19
5.120000000000000107e+00 -2.183201855613929986e-19
5.120000000000000107e+00 -2.183201855613929986e-19
5.440000000000000391e+00 3.219653729395829978e-19
5.440000000000000391e+00 3.219653729395829978e-19
5.440000000000000391e+00 3.219653729395829978e-19
5.440000000000000391e+00 3.219653729395829978e-19
5.759999999999999787e+00 -1.005145654507880091e-18
5.759999999999999787e+00 -1.005145654507880091e-18
5.759999999999999787e+00 -1.005145654507880091e-18
5.759999999999999787e+00 -1.005145654507880091e-18
6.080000000000000071e+00 -4.912136504409919600e-19
6.080000000000000071e+00 -4.912136504409919600e-19
6.080000000000000071e+00 -4.912136504409919600e-19
6.080000000000000071e+00 -4.912136504409919600e-19
6.400000000000000355e+00 -9.723019569532030212e-20
6.400000000000000355e+00 -9.723019569532030212e-20
6.400000000000000355e+00 -9.723019569532030212e-20
6.400000000000000355e+00 -9.723019569532030212e-20
6.719999999999999751e+00 -5.641258890399809819e-19
6.719999999999999751e+00 -5.641258890399809819e-19
6.719999999999999751e+00 -5.641258890399809819e-19
6.719999999999999751e+00 -5.641258890399809819e-19
7.040000000000000036e+00 1.036091238551069913e-18
7.040000000000000036e+00 1.036091238551069913e-18
7.040000000000000036e+00 1.036091238551069913e-18
7.040000000000000036e+00 1.036091238551069913e-18
7.360000000000000320e+00 1.456709119812980022e-19
7.360000000000000320e+00 1.456709119812980022e-19
7.360000000000000320e+00 1.456709119812980022e-19
7.360000000000000320e+00 1.456709119812980022e-19
7.679999999999999716e+00 -5.937505621380000255e-19
7.679999999999999716e+00 -5.937505621380000255e-19
7.679999999999999716e+00 -5.937505621380000255e-19
7.679999999999999716e+00 -5.937505621380000255e-19
8.000000000000000000e+00 4.056711773469559868e-19
8.000000000000000000e+00 4.056711773469559868e-19
8.000000000000000000e+00 4.056711773469559868e-19
8.000000000000000000e+00 4.056711773469559868e-19
8.320000000000000284e+00 -4.791945360658609560e-19
8.320000000000000284e+00 -4.791945360658609560e-19
8.320000000000000284e+00 -4.791945360658609560e-19
8.320000000000000284e+00 -4.791945360658609560e-19
8.640000000000000568e+00 -7.652533787200710261e-21
8.640000000000000568e+00 -7.652533787200710261e-21
8.640000000000000568e+00 -7.652533787200710261e-21
8.640000000000000568e+00 -7.652533787200710261e-21
8.960000000000000853e+00 1.408091946600689914e-19
8.960000000000000853e+00 1.408091946600689914e-19
8.960000000000000853e+00 1.408091946600689914e-19
8.960000000000000853e+00 1.408091946600689914e-19
9.279999999999999361e+00 -8.866262887936059461e-19
9.279999999999999361e+00 -8.866262887936059461e-19
9.279999999999999361e+00 -8.866262887936059461e-19
9.279999999999999361e+00 -8.866262887936059461e-19
9.599999999999999645e+00 -8.377826058969679995e-19
9.599999999999999645e+00 -8.377826058969679995e-19
9.599999999999999645e+00 -8.377826058969679995e-19
9.599999999999999645e+00 -8.377826058969679995e-19
9.919999999999999929e+00 -1.643925485098160047e-18
9.919999999999999929e+00 -1.643925485098160047e-18
9.919999999999999929e+00 -1.643925485098160047e-18
9.919999999999999929e+00 -1.643925485098160047e-18
1.024000000000000021e+01 -1.525520993290089968e-18
1.024000000000000021e+01 -1.525520993290089968e-18
1.024000000000000021e+01 -1.525520993290089968e-18
1.024000000000000021e+01 -1.525520993290089968e-18
1.056000000000000050e+01 -2.955817454752740114e-19
1.056000000000000050e+01 -2.955817454752740114e-19
1.056000000000000050e+01 -2.955817454752740114e-19
1.056000000000000050e+01 -2.955817454752740114e-19
1.088000000000000078e+01 -4.674617305597039789e-19
1.088000000000000078e+01 -4.674617305597039789e-19
1.088000000000000078e+01 -4.674617305597039789e-19
