t shift
0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00
3.200000000000000067e-01 -2.339027396054019900e-17
3.200000000000000067e-01 -2.339027396054019900e-17
3.200000000000000067e-01 -2.339027396054019900e-17
3.200000000000000067e-01 -2.339027396054019900e-17
6.400000000000000133e-01 -7.754885593723360593e-17
6.400000000000000133e-01 -7.754885593723360593e-17
6.400000000000000133e-01 -7.754885593723360593e-17
6.400000000000000133e-01 -7.754885593723360593e-17
9.599999999999999645e-01 -3.706538731633010317e-18
9.599999999999999645e-01 -3.706538731633010317e-18
9.599999999999999645e-01 -3.706538731633010317e-18
9.599999999999999645e-01 -3.706538731633010317e-18
1.280000000000000027e+00 -1.548416362302040040e-18
1.280000000000000027e+00 -1.548416362302040040e-18
1.280000000000000027e+00 -1.548416362302040040e-18
1.280000000000000027e+00 -1.548416362302040040e-18
1.600000000000000089e+00 -1.272412794005299934e-17
1.600000000000000089e+00 -1.272412794005299934e-17
1.600000000000000089e+00 -1.272412794005299934e-17
1.600000000000000089e+00 -1.272412794005299934e-17
1.919999999999999929e+00 -7.862184359027690744e-18
1.919999999999999929e+00 -7.862184359027690744e-18
1.919999999999999929e+00 -7.862184359027690744e-18
1.919999999999999929e+00 -7.862184359027690744e-18
2.240000000000000213e+00 1.748468957805340045e-17
2.240000000000000213e+00 1.748468957805340045e-17
2.240000000000000213e+00 1.748468957805340045e-17
2.240000000000000213e+00 1.748468957805340045e-17
2.560000000000000053e+00 1.634914951644670066e-17
2.560000000000000053e+00 1.634914951644670066e-17
2.560000000000000053e+00 1.634914951644670066e-17
2.560000000000000053e+00 1.634914951644670066e-17
2.879999999999999893e+00 1.056294040994540063e-17
2.879999999999999893e+00 1.056294040994540063e-17
2.879999999999999893e+00 1.056294040994540063e-17
2.879999999999999893e+00 1.056294040994540063e-17
3.200000000000000178e+00 4.854044189918510059e-18
3.200000000000000178e+00 4.854044189918510059e-18
3.200000000000000178e+00 4.854044189918510059e-18
3.200000000000000178e+00 4.854044189918510059e-18
3.520000000000000018e+00 -8.566508611448690501e-18
3.520000000000000018e+00 -8.566508611448690501e-18
3.520000000000000018e+00 -8.566508611448690501e-18
3.520000000000000018e+00 -8.566508611448690501e-18
3.839999999999999858e+00 -1.068650402358229927e-17
3.839999999999999858e+00 -1.068650402358229927e-17
3.839999999999999858e+00 -1.068650402358229927e-17
3.839999999999999858e+00 -1.068650402358229927e-17
4.160000000000000142e+00 -1.436934852136189926e-18
4.160000000000000142e+00 -1.436934852136189926e-18
4.160000000000000142e+00 -1.436934852136189926e-18
4.160000000000000142e+00 -1.436934852136189926e-18
4.480000000000000426e+00 2.544621760110420092e-18
4.480000000000000426e+00 2.544621760110420092e-18
4.480000000000000426e+00 2.544621760110420092e-18
4.480000000000000426e+00 2.544621760110420092e-18
4.799999999999999822e+00 1.199473060161610018e-18
4.799999999999999822e+00 1.199473060161610018e-18
4.799999999999999822e+00 1.199473060161610018e-18
4.799999999999999822e+00 1.199473060161610018e-18
5.120000000000000107e+00 9.985289267658480905e-19
5.120000000000000107e+00 9.985289267658480905e-19
5.120000000000000107e+00 9.985289267658480905e-19
5.120000000000000107e+00 9.985289267658480905e-19
5.440000000000000391e+00 -1.111894672097269946e-18
5.440000000000000391e+00 -1.111894672097269946e-18
5.440000000000000391e+00 -1.111894672097269946e-18
5.440000000000000391e+00 -1.111894672097269946e-18
5.759999999999999787e+00 -2.388492835275360144e-18
5.759999999999999787e+00 -2.388492835275360144e-18
5.759999999999999787e+00 -2.388492835275360144e-18
5.759999999999999787e+00 -2.388492835275360144e-18
6.080000000000000071e+00 3.358318734052369999e-19
6.080000000000000071e+00 3.358318734052369999e-19
6.080000000000000071e+00 3.358318734052369999e-19
6.080000000000000071e+00 3.358318734052369999e-19
6.400000000000000355e+00 1.462403395955830047e-18
6.400000000000000355e+00 1.462403395955830047e-18
6.400000000000000355e+00 1.462403395955830047e-18
6.400000000000000355e+00 1.462403395955830047e-18
6.719999999999999751e+00 -1.002906194241929948e-19
6.719999999999999751e+00 -1.002906194241929948e-19
6.719999999999999751e+00 -1.002906194241929948e-19
6.719999999999999751e+00 -1.002906194241929948e-19
7.040000000000000036e+00 2.354818101373790081e-19
7.040000000000000036e+00 2.354818101373790081e-19
7.040000000000000036e+00 2.354818101373790081e-19
7.040000000000000036e+00 2.354818101373790081e-19
7.360000000000000320e+00 -4.682653546419929941e-20
7.360000000000000320e+00 -4.682653546419929941e-20
7.360000000000000320e+00 -4.682653546419929941e-20
7.360000000000000320e+00 -4.682653546419929941e-20
7.679999999999999716e+00 -1.785039689636509888e-18
7.679999999999999716e+00 -1.785039689636509888e-18
7.679999999999999716e+00 -1.785039689636509888e-18
7.679999999999999716e+00 -1.785039689636509888e-18
8.000000000000000000e+00 -1.486815198432700081e-18
8.000000000000000000e+00 -1.486815198432700081e-18
8.000000000000000000e+00 -1.486815198432700081e-18
8.000000000000000000e+00 -1.486815198432700081e-18
8.320000000000000284e+00 -1.984619698310420169e-18
8.320000000000000284e+00 -1.984619698310420169e-18
8.320000000000000284e+00 -1.984619698310420169e-18
8.320000000000000284e+00 -1.984619698310420169e-18
8.640000000000000568e+00 -3.925881052506219849e-18
8.640000000000000568e+00 -3.925881052506219849e-18
8.640000000000000568e+00 -3.925881052506219849e-18
8.640000000000000568e+00 -3.925881052506219849e-18
8.960000000000000853e+00 -1.797841848573480100e-18
8.960000000000000853e+00 -1.797841848573480100e-18
8.960000000000000853e+00 -1.797841848573480100e-18
8.960000000000000853e+00 -1.797841848573480100e-18
9.279999999999999361e+00 1.387100965489400005e-18
9.279999999999999361e+00 1.387100965489400005e-18
9.279999999999999361e+00 1.387100965489400005e-18
9.279999999999999361e+00 1.387100965489400005e-18
9.599999999999999645e+00 2.022477772665560007e-19
9.599999999999999645e+00 2.022477772665560007e-19
9.599999999999999645e+00 2.022477772665560007e-19
9.599999999999999645e+00 2.022477772665560007e-19
9.919999999999999929e+00 -5.727336153224239897e-19
9.919999999999999929e+00 -5.727336153224239897e-19
9.919999999999999929e+00 -5.727336153224239897e-19
9.919999999999999929e+00 -5.727336153224239897e-19
1.024000000000000021e+01 1.814281296735820076e-18
1.024000000000000021e+01 1.814281296735820076e-18
1.024000000000000021e+01 1.814281296735820076e-18
1.024000000000000021e+01 1.814281296735820076e-18
1.056000000000000050e+01 3.695866632603049911e-18
1.056000000000000050e+01 3.695866632603049911e-18
1.056000000000000050e+01 3.695866632603049911e-18
1.056000000000000050e+01 3.695866632603049911e-18
1.088000000000000078e+01 4.856914607612590374e-18
1.088000000000000078e+01 4.856914607612590374e-18
1.088000000000000078e+01 4.856914607612590374e-18
1.088000000000000078e+01 4.856914607612590374e-18
