t trk
0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00
3.200000000000000067e-01 8.978575345974390499e-05
3.200000000000000067e-01 8.978575345974390499e-05
3.200000000000000067e-01 8.978575345974390499e-05
3.200000000000000067e-01 8.978575345974390499e-05
6.400000000000000133e-01 1.760174531874809966e-04
6.400000000000000133e-01 1.760174531874809966e-04
6.400000000000000133e-01 1.760174531874809966e-04
6.400000000000000133e-01 1.760174531874809966e-04
9.599999999999999645e-01 2.607637869453409874e-04
9.599999999999999645e-01 2.607637869453409874e-04
9.599999999999999645e-01 2.607637869453409874e-04
9.599999999999999645e-01 2.607637869453409874e-04
1.280000000000000027e+00 3.046271980733900151e-04
1.280000000000000027e+00 3.046271980733900151e-04
1.280000000000000027e+00 3.046271980733900151e-04
1.280000000000000027e+00 3.046271980733900151e-04
1.600000000000000089e+00 3.513640981488129760e-04
1.600000000000000089e+00 3.513640981488129760e-04
1.600000000000000089e+00 3.513640981488129760e-04
1.600000000000000089e+00 3.513640981488129760e-04
1.919999999999999929e+00 4.159259879971520133e-04
1.919999999999999929e+00 4.159259879971520133e-04
1.919999999999999929e+00 4.159259879971520133e-04
1.919999999999999929e+00 4.159259879971520133e-04
2.240000000000000213e+00 4.551381748258449952e-04
2.240000000000000213e+00 4.551381748258449952e-04
2.240000000000000213e+00 4.551381748258449952e-04
2.240000000000000213e+00 4.551381748258449952e-04
2.560000000000000053e+00 5.397174084157230038e-04
2.560000000000000053e+00 5.397174084157230038e-04
2.560000000000000053e+00 5.397174084157230038e-04
2.560000000000000053e+00 5.397174084157230038e-04
2.879999999999999893e+00 5.362112462859889780e-04
2.879999999999999893e+00 5.362112462859889780e-04
2.879999999999999893e+00 5.362112462859889780e-04
2.879999999999999893e+00 5.362112462859889780e-04
3.200000000000000178e+00 5.490165283069030431e-04
3.200000000000000178e+00 5.490165283069030431e-04
3.200000000000000178e+00 5.490165283069030431e-04
3.200000000000000178e+00 5.490165283069030431e-04
3.520000000000000018e+00 5.187430109767090201e-04
3.520000000000000018e+00 5.187430109767090201e-04
3.520000000000000018e+00 5.187430109767090201e-04
3.520000000000000018e+00 5.187430109767090201e-04
3.839999999999999858e+00 5.200304400826000206e-04
3.839999999999999858e+00 5.200304400826000206e-04
3.839999999999999858e+00 5.200304400826000206e-04
3.839999999999999858e+00 5.200304400826000206e-04
4.160000000000000142e+00 4.908130053663309605e-04
4.160000000000000142e+00 4.908130053663309605e-04
4.160000000000000142e+00 4.908130053663309605e-04
4.160000000000000142e+00 4.908130053663309605e-04
4.480000000000000426e+00 4.608615234690559889e-04
4.480000000000000426e+00 4.608615234690559889e-04
4.480000000000000426e+00 4.608615234690559889e-04
4.480000000000000426e+00 4.608615234690559889e-04
4.799999999999999822e+00 3.853708992791169980e-04
4.799999999999999822e+00 3.853708992791169980e-04
4.799999999999999822e+00 3.853708992791169980e-04
4.799999999999999822e+00 3.853708992791169980e-04
5.120000000000000107e+00 3.187724774699289814e-04
5.120000000000000107e+00 3.187724774699289814e-04
5.120000000000000107e+00 3.187724774699289814e-04
5.120000000000000107e+00 3.187724774699289814e-04
5.440000000000000391e+00 2.559026499179969873e-04
5.440000000000000391e+00 2.559026499179969873e-04
5.440000000000000391e+00 2.559026499179969873e-04
5.440000000000000391e+00 2.559026499179969873e-04
5.759999999999999787e+00 1.997256338195669970e-04
5.759999999999999787e+00 1.997256338195669970e-04
5.759999999999999787e+00 1.997256338195669970e-04
5.759999999999999787e+00 1.997256338195669970e-04
6.080000000000000071e+00 1.272468233978240118e-04
6.080000000000000071e+00 1.272468233978240118e-04
6.080000000000000071e+00 1.272468233978240118e-04
6.080000000000000071e+00 1.272468233978240118e-04
6.400000000000000355e+00 1.027881524264850005e-04
6.400000000000000355e+00 1.027881524264850005e-04
6.400000000000000355e+00 1.027881524264850005e-04
6.400000000000000355e+00 1.027881524264850005e-04
6.719999999999999751e+00 1.051974597630630050e-04
6.719999999999999751e+00 1.051974597630630050e-04
6.719999999999999751e+00 1.051974597630630050e-04
6.719999999999999751e+00 1.051974597630630050e-04
7.040000000000000036e+00 1.087311892047180005e-04
7.040000000000000036e+00 1.087311892047180005e-04
7.040000000000000036e+00 1.087311892047180005e-04
7.040000000000000036e+00 1.087311892047180005e-04
7.360000000000000320e+00 1.199672803584480034e-04
7.360000000000000320e+00 1.199672803584480034e-04
7.360000000000000320e+00 1.199672803584480034e-04
7.360000000000000320e+00 1.199672803584480034e-04
7.679999999999999716e+00 1.337204037674989958e-04
7.679999999999999716e+00 1.337204037674989958e-04
7.679999999999999716e+00 1.337204037674989958e-04
7.679999999999999716e+00 1.337204037674989958e-04
8.000000000000000000e+00 1.500330769510349995e-04
8.000000000000000000e+00 1.500330769510349995e-04
8.000000000000000000e+00 1.500330769510349995e-04
8.000000000000000000e+00 1.500330769510349995e-04
8.320000000000000284e+00 1.724231936341070115e-04
8.320000000000000284e+00 1.724231936341070115e-04
8.320000000000000284e+00 1.724231936341070115e-04
8.320000000000000284e+00 1.724231936341070115e-04
8.640000000000000568e+00 1.868337015507360070e-04
8.640000000000000568e+00 1.868337015507360070e-04
8.640000000000000568e+00 1.868337015507360070e-04
8.640000000000000568e+00 1.868337015507360070e-04
8.960000000000000853e+00 2.847261993958580175e-04
8.960000000000000853e+00 2.847261993958580175e-04
8.960000000000000853e+00 2.847261993958580175e-04
8.960000000000000853e+00 2.847261993958580175e-04
9.279999999999999361e+00 3.081991124766439872e-04
9.279999999999999361e+00 3.081991124766439872e-04
9.279999999999999361e+00 3.081991124766439872e-04
9.279999999999999361e+00 3.081991124766439872e-04
9.599999999999999645e+00 3.230713010193949817e-04
9.599999999999999645e+00 3.230713010193949817e-04
9.599999999999999645e+00 3.230713010193949817e-04
9.599999999999999645e+00 3.230713010193949817e-04
9.919999999999999929e+00 3.180202300113940130e-04
9.919999999999999929e+00 3.180202300113940130e-04
9.919999999999999929e+00 3.180202300113940130e-04
9.919999999999999929e+00 3.180202300113940130e-04
1.024000000000000021e+01 3.079054539320140210e-04
1.024000000000000021e+01 3.079054539320140210e-04
1.024000000000000021e+01 3.079054539320140210e-04
1.024000000000000021e+01 3.079054539320140210e-04
1.056000000000000050e+01 2.869400828125759839e-04
1.056000000000000050e+01 2.869400828125759839e-04
1.056000000000000050e+01 2.869400828125759839e-04
1.056000000000000050e+01 2.869400828125759839e-04
1.088000000000000078e+01 2.544652541057650184e-04
1.088000000000000078e+01 2.544652541057650184e-04
1.088000000000000078e+01 2.544652541057650184e-04
1.088000000000000078e+01 2.544652541057650184e-04
1.119999999999999929e+01 2.068911262719219906e-04
1.119999999999999929e+01 2.068911262719219906e-04
1.119999999999999929e+01 2.068911262719219906e-04
